,gohugoio/hugo,vercel/next.js,gatsbyjs/gatsby
2020-10-05,1,9,7
2020-10-06,12,2,10
2020-10-07,9,4,8
2020-10-08,8,5,15
2020-10-09,2,2,10
2020-10-10,0,2,0
2020-10-11,0,3,0
2020-10-12,7,3,11
2020-10-13,0,3,9
2020-10-14,7,8,9
2020-10-15,1,9,13
2020-10-16,4,13,14
2020-10-17,0,4,0
2020-10-18,0,2,0
2020-10-19,0,6,11
2020-10-20,0,10,9
2020-10-21,2,15,8
2020-10-22,2,7,5
2020-10-23,1,4,2
2020-10-24,2,8,0
2020-10-25,0,2,0
2020-10-26,0,9,10
2020-10-27,0,31,8
2020-10-28,1,3,13
2020-10-29,1,11,7
2020-10-30,12,6,4
2020-10-31,0,2,0
2020-11-01,0,9,0
2020-11-02,0,14,12
2020-11-03,10,14,15
2020-11-04,2,14,7
2020-11-05,6,15,7
2020-11-06,3,15,10
2020-11-07,0,7,0
2020-11-08,0,1,0
2020-11-09,0,15,13
2020-11-10,0,12,17
2020-11-11,0,16,7
2020-11-12,0,23,18
2020-11-13,5,13,10
2020-11-14,0,7,3
2020-11-15,0,3,1
2020-11-16,0,5,11
2020-11-17,0,6,19
2020-11-18,0,6,6
2020-11-19,0,5,8
2020-11-20,2,11,6
2020-11-21,3,1,0
2020-11-22,1,1,2
2020-11-23,0,4,9
2020-11-24,2,12,4
2020-11-25,3,8,9
2020-11-26,1,1,15
2020-11-27,8,0,10
2020-11-28,1,1,2
2020-11-29,0,0,0
2020-11-30,0,4,13
2020-12-01,1,8,19
2020-12-02,3,5,17
2020-12-03,2,1,14
2020-12-04,1,6,10
2020-12-05,1,0,0
2020-12-06,0,0,0
2020-12-07,0,5,5
2020-12-08,0,5,7
2020-12-09,1,5,17
2020-12-10,0,3,10
2020-12-11,0,1,5
2020-12-12,0,4,0
2020-12-13,0,0,0
2020-12-14,0,5,3
2020-12-15,0,0,14
2020-12-16,4,6,13
2020-12-17,3,5,16
