,containerd/containerd,moby/moby,canonical/lxd
2023-11-05,1,0.0,11
2023-11-06,4,4.0,33
2023-11-07,2,4.0,14
2023-11-08,4,13.0,1
2023-11-09,3,8.0,1
2023-11-10,3,4.0,0
2023-11-11,0,1.0,0
2023-11-12,0,0.0,0
2023-11-13,5,11.0,2
2023-11-14,2,4.0,1
2023-11-15,17,1.0,8
2023-11-16,4,2.0,2
2023-11-17,5,0.0,13
2023-11-18,3,0.0,0
2023-11-19,0,4.0,0
2023-11-20,3,5.0,4
2023-11-21,2,4.0,3
2023-11-22,6,2.0,8
2023-11-23,1,5.0,18
2023-11-24,0,4.0,2
2023-11-25,0,0.0,0
2023-11-26,1,0.0,0
2023-11-27,0,11.0,11
2023-11-28,3,2.0,34
2023-11-29,1,5.0,10
2023-11-30,6,17.0,2
2023-12-01,11,5.0,10
2023-12-02,0,0.0,0
2023-12-03,0,1.0,2
2023-12-04,3,12.0,24
2023-12-05,4,11.0,49
2023-12-06,8,9.0,11
2023-12-07,4,7.0,14
2023-12-08,2,8.0,13
2023-12-09,4,4.0,0
2023-12-10,2,0.0,0
2023-12-11,1,3.0,14
2023-12-12,9,12.0,10
2023-12-13,16,5.0,2
2023-12-14,8,5.0,6
2023-12-15,5,10.0,1
2023-12-16,0,1.0,0
2023-12-17,0,0.0,2
2023-12-18,2,19.0,0
2023-12-19,3,18.0,1
2023-12-20,4,4.0,1
2023-12-21,0,7.0,0
2023-12-22,1,1.0,0
2023-12-23,1,0.0,0
2023-12-24,0,0.0,0
2023-12-25,1,0.0,0
2023-12-26,0,0.0,0
2023-12-27,2,1.0,0
2023-12-28,5,4.0,0
2023-12-29,1,5.0,0
2023-12-30,1,0.0,0
2023-12-31,0,0.0,0
2024-01-01,0,0.0,0
2024-01-02,2,14.0,0
2024-01-03,4,14.0,7
2024-01-04,3,10.0,1
2024-01-05,6,13.0,0
2024-01-06,1,2.0,0
2024-01-07,1,0.0,0
2024-01-08,3,9.0,16
2024-01-09,5,8.0,14
2024-01-10,6,5.0,1
2024-01-11,10,2.0,2
2024-01-12,5,10.0,0
2024-01-13,0,0.0,0
2024-01-14,0,0.0,0
2024-01-15,2,11.0,1
2024-01-16,6,18.0,3
2024-01-17,57,30.0,14
2024-01-18,8,11.0,84
2024-01-19,6,29.0,48
2024-01-20,5,14.0,0
2024-01-21,0,7.0,0
2024-01-22,0,26.0,6
2024-01-23,8,23.0,34
2024-01-24,7,15.0,4
2024-01-25,9,14.0,3
2024-01-26,11,11.0,1
2024-01-27,1,1.0,0
2024-01-28,4,1.0,0
2024-01-29,9,8.0,9
2024-01-30,10,6.0,32
2024-01-31,7,20.0,1
2024-02-01,4,17.0,12
2024-02-02,7,13.0,4
2024-02-03,10,4.0,4
2024-02-04,3,3.0,0
2024-02-05,7,5.0,13
2024-02-06,9,37.0,22
2024-02-07,21,5.0,64
2024-02-08,5,4.0,40
2024-02-09,9,4.0,23
2024-02-10,4,0.0,13
2024-02-11,8,0.0,0
2024-02-12,6,9.0,67
2024-02-13,9,1.0,41
2024-02-14,6,10.0,52
2024-02-15,8,1.0,51
2024-02-16,13,2.0,5
2024-02-17,2,0.0,0
2024-02-18,1,0.0,0
2024-02-19,3,0.0,24
2024-02-20,9,4.0,96
2024-02-21,9,3.0,47
2024-02-22,13,12.0,34
2024-02-23,3,8.0,5
2024-02-24,2,0.0,2
2024-02-25,1,0.0,0
2024-02-26,4,5.0,27
2024-02-27,8,26.0,56
2024-02-28,4,11.0,28
2024-02-29,4,13.0,7
2024-03-01,6,8.0,24
2024-03-02,1,0.0,2
2024-03-03,0,0.0,0
2024-03-04,5,3.0,24
2024-03-05,8,8.0,37
2024-03-06,4,12.0,114
2024-03-07,6,26.0,47
2024-03-08,7,2.0,62
2024-03-09,1,1.0,1
2024-03-10,0,0.0,0
2024-03-11,0,1.0,21
2024-03-12,5,3.0,22
2024-03-13,4,11.0,21
2024-03-14,1,11.0,49
2024-03-15,1,7.0,18
2024-03-16,0,5.0,2
2024-03-17,1,1.0,1
2024-03-18,3,16.0,15
2024-03-19,7,8.0,6
2024-03-20,3,6.0,4
2024-03-21,1,8.0,11
2024-03-22,2,5.0,23
2024-03-23,0,0.0,2
2024-03-24,0,0.0,0
2024-03-25,2,1.0,15
2024-03-26,5,0.0,6
2024-03-27,5,4.0,29
2024-03-28,1,5.0,28
2024-03-29,2,1.0,0
2024-03-30,1,1.0,1
2024-03-31,1,0.0,0
2024-04-01,1,1.0,7
2024-04-02,7,2.0,22
2024-04-03,1,5.0,14
2024-04-04,1,4.0,18
2024-04-05,2,4.0,27
2024-04-06,0,0.0,2
2024-04-07,1,0.0,0
2024-04-08,1,4.0,5
2024-04-09,4,2.0,13
2024-04-10,6,7.0,15
2024-04-11,3,0.0,18
2024-04-12,4,0.0,11
2024-04-13,0,1.0,0
2024-04-14,2,0.0,0
2024-04-15,1,6.0,3
2024-04-16,0,4.0,16
2024-04-17,0,0.0,11
2024-04-18,4,1.0,0
2024-04-19,2,7.0,8
2024-04-20,0,1.0,2
2024-04-21,2,0.0,0
2024-04-22,8,3.0,6
2024-04-23,12,8.0,6
2024-04-24,7,3.0,20
2024-04-25,1,2.0,6
2024-04-26,3,20.0,3
2024-04-27,2,0.0,3
2024-04-28,1,1.0,6
2024-04-29,5,2.0,31
2024-04-30,17,2.0,9
2024-05-01,5,7.0,3
2024-05-02,10,2.0,43
2024-05-03,12,2.0,31
2024-05-04,3,0.0,0
2024-05-05,0,0.0,0
2024-05-06,12,1.0,9
2024-05-07,14,4.0,2
2024-05-08,7,4.0,16
2024-05-09,2,1.0,1
2024-05-10,7,14.0,2
2024-05-11,1,0.0,2
2024-05-12,0,0.0,1
2024-05-13,8,1.0,11
2024-05-14,4,3.0,2
2024-05-15,1,0.0,1
2024-05-16,2,4.0,6
2024-05-17,5,3.0,16
2024-05-18,0,0.0,1
2024-05-19,0,0.0,0
2024-05-20,1,0.0,0
2024-05-21,2,8.0,2
2024-05-22,1,6.0,8
2024-05-23,2,7.0,21
2024-05-24,0,6.0,17
2024-05-25,2,5.0,0
2024-05-26,0,0.0,0
2024-05-27,0,8.0,7
2024-05-28,6,7.0,6
2024-05-29,6,8.0,1
2024-05-30,2,1.0,4
2024-05-31,1,1.0,11
2024-06-01,0,1.0,3
2024-06-02,0,0.0,0
2024-06-03,1,9.0,77
2024-06-04,6,9.0,32
2024-06-05,7,8.0,15
2024-06-06,1,10.0,50
2024-06-07,2,18.0,9
2024-06-08,1,14.0,3
2024-06-09,0,4.0,29
2024-06-10,1,45.0,19
2024-06-11,7,15.0,3
2024-06-12,5,7.0,38
2024-06-13,9,28.0,40
2024-06-14,11,18.0,6
2024-06-15,0,11.0,17
2024-06-16,0,23.0,0
2024-06-17,7,34.0,20
2024-06-18,5,30.0,3
2024-06-19,1,8.0,30
2024-06-20,8,15.0,3
2024-06-21,2,6.0,5
2024-06-22,0,0.0,0
2024-06-23,0,0.0,0
2024-06-24,3,0.0,4
2024-06-25,3,1.0,5
2024-06-26,7,6.0,6
2024-06-27,6,26.0,17
2024-06-28,4,11.0,18
2024-06-29,2,1.0,0
2024-06-30,0,13.0,0
2024-07-01,7,17.0,19
2024-07-02,0,47.0,13
2024-07-03,2,8.0,6
2024-07-04,1,9.0,17
2024-07-05,0,9.0,9
2024-07-06,0,0.0,0
2024-07-07,1,0.0,0
2024-07-08,3,7.0,21
2024-07-09,1,1.0,5
2024-07-10,3,4.0,8
2024-07-11,4,6.0,34
2024-07-12,2,1.0,16
2024-07-13,0,0.0,0
2024-07-14,0,0.0,1
2024-07-15,4,8.0,13
2024-07-16,7,4.0,27
2024-07-17,2,2.0,36
2024-07-18,3,10.0,16
2024-07-19,6,9.0,5
2024-07-20,0,0.0,0
2024-07-21,0,0.0,8
2024-07-22,6,7.0,20
2024-07-23,6,6.0,3
2024-07-24,0,4.0,12
2024-07-25,3,7.0,19
2024-07-26,6,15.0,33
2024-07-27,0,0.0,0
2024-07-28,0,0.0,0
2024-07-29,0,13.0,11
2024-07-30,8,4.0,11
2024-07-31,3,10.0,7
2024-08-01,0,12.0,18
2024-08-02,1,2.0,19
2024-08-03,0,0.0,2
2024-08-04,0,0.0,1
2024-08-05,5,42.0,12
2024-08-06,5,6.0,16
2024-08-07,3,7.0,7
2024-08-08,2,6.0,3
2024-08-09,6,4.0,22
2024-08-10,0,1.0,3
2024-08-11,0,0.0,0
2024-08-12,0,5.0,10
2024-08-13,6,9.0,4
2024-08-14,7,4.0,5
2024-08-15,4,2.0,9
2024-08-16,6,4.0,7
2024-08-17,0,1.0,0
2024-08-18,0,0.0,0
2024-08-19,2,6.0,10
2024-08-20,1,3.0,4
2024-08-21,0,2.0,6
2024-08-22,1,2.0,12
2024-08-23,1,6.0,51
2024-08-24,0,1.0,0
2024-08-25,1,0.0,0
2024-08-26,7,14.0,3
2024-08-27,11,29.0,31
2024-08-28,3,2.0,43
2024-08-29,4,14.0,15
2024-08-30,3,2.0,26
2024-08-31,2,0.0,1
2024-09-01,0,0.0,0
2024-09-02,3,9.0,13
2024-09-03,7,8.0,33
2024-09-04,1,3.0,90
2024-09-05,4,1.0,21
2024-09-06,2,6.0,59
2024-09-07,0,0.0,4
2024-09-08,1,0.0,0
2024-09-09,0,13.0,28
2024-09-10,4,17.0,7
2024-09-11,0,21.0,20
2024-09-12,2,9.0,27
2024-09-13,0,2.0,16
2024-09-14,0,1.0,0
2024-09-15,0,2.0,0
2024-09-16,0,18.0,78
2024-09-17,1,19.0,13
2024-09-18,1,2.0,13
2024-09-19,4,4.0,31
2024-09-20,0,3.0,2
2024-09-21,1,0.0,0
2024-09-22,0,0.0,0
2024-09-23,2,5.0,15
2024-09-24,3,2.0,5
2024-09-25,0,0.0,20
2024-09-26,4,4.0,25
2024-09-27,3,3.0,16
2024-09-28,1,0.0,0
2024-09-29,0,0.0,0
2024-09-30,6,3.0,17
2024-10-01,3,0.0,11
2024-10-02,11,0.0,5
2024-10-03,4,1.0,3
2024-10-04,0,7.0,30
2024-10-05,1,0.0,0
2024-10-06,0,0.0,0
2024-10-07,5,8.0,16
2024-10-08,4,7.0,43
2024-10-09,2,2.0,12
2024-10-10,0,19.0,33
2024-10-11,6,11.0,3
2024-10-12,2,14.0,4
2024-10-13,0,0.0,0
2024-10-14,0,4.0,17
2024-10-15,4,27.0,65
2024-10-16,12,9.0,13
2024-10-17,15,17.0,20
2024-10-18,5,9.0,39
2024-10-19,1,1.0,1
2024-10-20,0,8.0,0
2024-10-21,7,19.0,23
2024-10-22,11,13.0,20
2024-10-23,10,13.0,13
2024-10-24,7,17.0,14
2024-10-25,5,21.0,18
2024-10-26,2,5.0,0
2024-10-27,0,11.0,0
2024-10-28,9,16.0,7
2024-10-29,2,8.0,2
2024-10-30,4,11.0,5
2024-10-31,2,5.0,17
2024-11-01,8,0.0,3
2024-11-02,1,0.0,0
2024-11-03,7,0.0,1
2024-11-04,3,1.0,2
