,NomicFoundation/hardhat,wagmi-dev/wagmi,dethcrypto/typechain
2022-10-27,9,2,0
2022-10-28,3,2,0
2022-10-29,0,0,0
2022-10-30,1,1,0
2022-10-31,1,3,0
2022-11-01,4,1,1
2022-11-02,17,3,0
2022-11-03,1,0,0
2022-11-04,0,3,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,2,1,0
2022-11-08,0,1,0
2022-11-09,1,5,0
2022-11-10,1,0,0
2022-11-11,1,3,0
2022-11-12,1,2,0
2022-11-13,2,0,0
2022-11-14,7,0,0
2022-11-15,3,2,0
2022-11-16,21,2,0
2022-11-17,9,1,0
2022-11-18,10,0,0
2022-11-19,2,0,0
2022-11-20,0,2,0
2022-11-21,1,3,0
2022-11-22,2,2,0
