,sveltejs/svelte,facebook/react,vuejs/core
2022-10-19,0,6,0
2022-10-20,1,0,2
2022-10-21,0,7,1
2022-10-22,0,6,2
2022-10-23,0,8,0
2022-10-24,0,9,0
2022-10-25,0,3,0
2022-10-26,0,0,15
2022-10-27,1,19,1
2022-10-28,0,2,2
2022-10-29,0,3,0
2022-10-30,0,1,0
2022-10-31,1,1,0
2022-11-01,0,5,1
2022-11-02,0,2,0
2022-11-03,1,5,0
2022-11-04,0,9,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,3,7,0
2022-11-08,0,6,31
2022-11-09,5,5,17
2022-11-10,5,7,12
2022-11-11,0,4,14
2022-11-12,0,0,0
2022-11-13,0,2,0
2022-11-14,0,2,36
2022-11-15,0,6,0
2022-11-16,0,6,0
2022-11-17,0,15,0
2022-11-18,0,3,0
2022-11-19,0,1,0
2022-11-20,0,0,0
2022-11-21,0,14,0
2022-11-22,0,10,0
2022-11-23,0,1,0
2022-11-24,0,6,0
2022-11-25,0,1,1
2022-11-26,0,0,0
2022-11-27,0,0,0
2022-11-28,0,5,0
2022-11-29,0,5,0
2022-11-30,0,2,0
2022-12-01,0,8,2
2022-12-02,1,7,0
2022-12-03,5,0,0
2022-12-04,0,0,0
2022-12-05,13,8,0
2022-12-06,4,7,0
2022-12-07,1,4,0
2022-12-08,0,4,0
2022-12-09,0,5,0
2022-12-10,0,0,0
2022-12-11,1,0,0
2022-12-12,0,7,0
2022-12-13,1,6,0
2022-12-14,0,14,0
2022-12-15,1,10,0
2022-12-16,1,3,0
2022-12-17,0,1,0
2022-12-18,0,2,0
2022-12-19,1,2,0
2022-12-20,1,15,0
2022-12-21,0,13,0
2022-12-22,4,13,0
2022-12-23,0,3,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,0,0,0
2022-12-29,0,0,0
2022-12-30,0,0,0
2022-12-31,1,0,0
2023-01-01,2,0,1
2023-01-02,10,0,0
2023-01-03,2,3,0
2023-01-04,0,13,0
2023-01-05,0,6,0
2023-01-06,0,1,0
2023-01-07,0,0,0
2023-01-08,0,0,0
2023-01-09,1,11,6
2023-01-10,6,10,0
2023-01-11,0,12,0
2023-01-12,1,11,2
2023-01-13,0,8,0
2023-01-14,0,4,0
2023-01-15,0,1,0
2023-01-16,0,2,1
2023-01-17,0,5,0
2023-01-18,0,5,0
2023-01-19,0,15,0
2023-01-20,0,9,1
2023-01-21,0,0,1
2023-01-22,0,0,0
2023-01-23,0,8,0
2023-01-24,0,8,0
2023-01-25,1,11,0
2023-01-26,0,5,19
2023-01-27,1,3,3
2023-01-28,4,1,0
2023-01-29,0,0,1
2023-01-30,1,11,1
2023-01-31,0,27,0
2023-02-01,0,11,10
2023-02-02,2,13,17
2023-02-03,1,10,16
2023-02-04,0,0,1
2023-02-05,3,0,4
2023-02-06,0,7,7
2023-02-07,3,14,0
2023-02-08,0,12,0
2023-02-09,0,11,0
2023-02-10,0,18,1
2023-02-11,0,0,1
2023-02-12,0,1,0
2023-02-13,1,9,0
2023-02-14,7,14,0
2023-02-15,0,4,0
2023-02-16,2,20,0
2023-02-17,0,10,0
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,0,8,0
2023-02-21,12,8,5
2023-02-22,7,4,0
2023-02-23,6,2,0
2023-02-24,2,3,0
2023-02-25,0,3,0
2023-02-26,3,0,0
2023-02-27,14,7,0
2023-02-28,10,5,0
2023-03-01,7,7,0
2023-03-02,5,7,0
2023-03-03,0,22,0
2023-03-04,2,11,0
2023-03-05,0,3,0
2023-03-06,1,26,0
2023-03-07,0,9,0
2023-03-08,3,19,0
2023-03-09,1,11,0
2023-03-10,2,7,0
2023-03-11,0,6,0
2023-03-12,0,1,0
2023-03-13,1,9,0
2023-03-14,7,3,0
2023-03-15,7,12,0
2023-03-16,2,9,0
2023-03-17,2,10,2
2023-03-18,1,2,0
2023-03-19,1,0,0
2023-03-20,2,8,0
2023-03-21,3,12,0
2023-03-22,0,19,0
2023-03-23,1,5,4
2023-03-24,1,12,1
2023-03-25,0,3,1
2023-03-26,0,0,6
2023-03-27,6,16,4
2023-03-28,2,9,32
2023-03-29,2,8,7
2023-03-30,5,22,10
2023-03-31,0,15,6
2023-04-01,0,1,0
2023-04-02,4,1,2
2023-04-03,3,4,2
2023-04-04,0,14,4
2023-04-05,3,12,8
2023-04-06,0,8,11
2023-04-07,0,4,0
2023-04-08,0,0,6
2023-04-09,0,1,1
2023-04-10,0,10,3
2023-04-11,9,13,12
2023-04-12,2,2,2
2023-04-13,0,3,6
2023-04-14,0,3,0
2023-04-15,2,2,10
2023-04-16,0,0,2
2023-04-17,1,7,4
2023-04-18,25,8,4
2023-04-19,3,11,0
2023-04-20,3,13,13
2023-04-21,0,13,11
2023-04-22,0,3,0
2023-04-23,0,2,0
2023-04-24,1,7,2
2023-04-25,0,9,4
2023-04-26,4,18,0
2023-04-27,2,7,1
2023-04-28,1,3,0
2023-04-29,0,2,0
2023-04-30,2,0,0
2023-05-01,0,6,6
2023-05-02,2,11,4
2023-05-03,0,12,0
2023-05-04,7,8,0
2023-05-05,5,2,3
2023-05-06,0,0,1
2023-05-07,0,1,0
2023-05-08,6,9,14
2023-05-09,2,4,0
2023-05-10,1,3,0
2023-05-11,2,8,6
2023-05-12,2,6,9
2023-05-13,4,0,0
2023-05-14,2,0,0
2023-05-15,2,5,0
2023-05-16,3,2,0
2023-05-17,2,15,5
2023-05-18,1,9,16
