,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2018-11-02,0.0,26,0.0
2018-11-03,0.0,2,0.0
2018-11-04,0.0,2,0.0
2018-11-05,0.0,21,0.0
2018-11-06,0.0,30,0.0
2018-11-07,0.0,26,0.0
2018-11-08,0.0,39,0.0
2018-11-09,0.0,17,0.0
2018-11-10,0.0,3,0.0
2018-11-11,0.0,1,0.0
2018-11-12,0.0,19,0.0
2018-11-13,0.0,29,0.0
2018-11-14,0.0,26,0.0
2018-11-15,0.0,24,0.0
2018-11-16,0.0,23,0.0
2018-11-17,0.0,3,0.0
2018-11-18,0.0,1,0.0
2018-11-19,0.0,23,0.0
2018-11-20,0.0,24,0.0
2018-11-21,0.0,39,0.0
2018-11-22,0.0,13,0.0
2018-11-23,0.0,15,0.0
2018-11-24,0.0,3,0.0
2018-11-25,0.0,1,0.0
2018-11-26,0.0,30,0.0
2018-11-27,0.0,41,0.0
2018-11-28,0.0,30,0.0
2018-11-29,0.0,38,0.0
2018-11-30,0.0,32,0.0
2018-12-01,0.0,5,0.0
2018-12-02,0.0,2,22.0
2018-12-03,0.0,22,0.0
2018-12-04,0.0,23,0.0
2018-12-05,0.0,38,0.0
2018-12-06,0.0,28,11.0
2018-12-07,0.0,38,8.0
2018-12-08,0.0,4,0.0
2018-12-09,0.0,7,5.0
2018-12-10,0.0,27,10.0
2018-12-11,0.0,38,4.0
2018-12-12,0.0,27,0.0
2018-12-13,0.0,29,3.0
2018-12-14,0.0,33,0.0
2018-12-15,0.0,3,2.0
2018-12-16,0.0,2,0.0
2018-12-17,0.0,29,4.0
2018-12-18,0.0,42,4.0
2018-12-19,0.0,52,2.0
2018-12-20,0.0,24,0.0
2018-12-21,0.0,17,0.0
2018-12-22,0.0,5,0.0
2018-12-23,0.0,9,0.0
2018-12-24,0.0,6,4.0
2018-12-25,0.0,0,0.0
2018-12-26,0.0,0,0.0
2018-12-27,0.0,8,3.0
2018-12-28,0.0,11,4.0
2018-12-29,0.0,0,7.0
2018-12-30,0.0,0,0.0
2018-12-31,0.0,7,13.0
2019-01-01,0.0,1,6.0
2019-01-02,0.0,23,5.0
2019-01-03,0.0,25,0.0
2019-01-04,0.0,19,0.0
2019-01-05,0.0,2,1.0
2019-01-06,0.0,1,21.0
2019-01-07,0.0,32,1.0
2019-01-08,0.0,21,4.0
2019-01-09,0.0,36,3.0
2019-01-10,0.0,30,12.0
2019-01-11,0.0,35,0.0
2019-01-12,0.0,3,6.0
2019-01-13,0.0,3,0.0
2019-01-14,0.0,22,5.0
2019-01-15,0.0,43,1.0
2019-01-16,0.0,23,2.0
2019-01-17,0.0,20,0.0
2019-01-18,0.0,29,0.0
2019-01-19,0.0,2,0.0
2019-01-20,0.0,3,0.0
2019-01-21,0.0,22,0.0
2019-01-22,0.0,30,0.0
2019-01-23,0.0,32,1.0
2019-01-24,0.0,46,1.0
2019-01-25,0.0,45,4.0
2019-01-26,0.0,6,0.0
2019-01-27,0.0,6,0.0
2019-01-28,0.0,25,2.0
2019-01-29,0.0,32,0.0
2019-01-30,0.0,46,2.0
2019-01-31,0.0,43,0.0
2019-02-01,0.0,56,0.0
2019-02-02,0.0,10,7.0
2019-02-03,0.0,8,8.0
2019-02-04,0.0,37,0.0
2019-02-05,0.0,50,0.0
2019-02-06,0.0,19,5.0
2019-02-07,0.0,0,4.0
2019-02-08,0.0,18,0.0
2019-02-09,2.0,8,0.0
2019-02-10,-0.7999999999999998,1,2.0
2019-02-11,-0.24,32,6.0
2019-02-12,-0.128,25,5.0
2019-02-13,-0.0832000000000001,15,3.0
2019-02-14,-0.059904000000000034,21,0.0
2019-02-15,-0.04592640000000001,38,0.0
2019-02-16,-0.03674111999999999,8,0.0
2019-02-17,-0.030311423999999986,1,8.0
2019-02-18,-0.025596313599999993,27,4.0
2019-02-19,0.0,35,0.0
2019-02-20,0.0,38,1.0
2019-02-21,0.0,20,14.0
2019-02-22,0.0,22,10.0
2019-02-23,0.0,2,6.0
2019-02-24,0.0,0,4.0
2019-02-25,0.0,24,2.0
2019-02-26,0.0,17,0.0
2019-02-27,0.0,31,0.0
2019-02-28,0.0,17,0.0
2019-03-01,0.0,17,0.0
2019-03-02,0.0,3,0.0
2019-03-03,0.0,1,0.0
2019-03-04,0.0,35,0.0
2019-03-05,0.0,26,6.0
2019-03-06,0.0,19,0.0
2019-03-07,0.0,20,0.0
2019-03-08,0.0,23,0.0
2019-03-09,0.0,3,0.0
2019-03-10,0.0,3,4.0
2019-03-11,0.0,18,0.0
2019-03-12,0.0,22,0.0
2019-03-13,0.0,17,0.0
2019-03-14,0.0,21,0.0
2019-03-15,0.0,27,0.0
2019-03-16,0.0,5,0.0
2019-03-17,0.0,5,0.0
2019-03-18,0.0,23,0.0
2019-03-19,0.0,23,0.0
2019-03-20,0.0,28,0.0
2019-03-21,0.0,28,0.0
2019-03-22,0.0,18,0.0
2019-03-23,0.0,10,0.0
2019-03-24,0.0,0,3.0
2019-03-25,0.0,9,0.0
2019-03-26,0.0,28,0.0
2019-03-27,0.0,38,0.0
2019-03-28,0.0,30,0.0
2019-03-29,0.0,24,0.0
2019-03-30,0.0,6,0.0
2019-03-31,0.0,1,0.0
2019-04-01,0.0,26,0.0
2019-04-02,0.0,22,0.0
2019-04-03,0.0,22,0.0
2019-04-04,0.0,27,0.0
2019-04-05,0.0,24,0.0
2019-04-06,0.0,3,0.0
2019-04-07,0.0,5,0.0
2019-04-08,0.0,32,0.0
2019-04-09,0.0,25,0.0
2019-04-10,0.0,25,0.0
2019-04-11,0.0,17,0.0
2019-04-12,0.0,16,0.0
2019-04-13,0.0,0,1.0
2019-04-14,0.0,2,0.0
2019-04-15,0.0,14,1.0
2019-04-16,0.0,21,0.0
2019-04-17,0.0,23,0.0
2019-04-18,0.0,23,0.0
2019-04-19,0.0,23,0.0
2019-04-20,0.0,3,0.0
2019-04-21,0.0,0,0.0
2019-04-22,1.0,12,0.0
2019-04-23,1.6,18,0.0
2019-04-24,-0.9199999999999998,16,0.0
2019-04-25,-0.304,22,0.0
2019-04-26,-0.16960000000000006,19,0.0
2019-04-27,-0.11315200000000011,3,0.0
2019-04-28,0.9171328,1,0.0
2019-04-29,0.53570304,17,45.0
2019-04-30,0.42810316800000014,20,0.0
2019-05-01,-0.6271095807999999,20,0.0
2019-05-02,-0.25119631360000005,21,2.0
2019-05-03,-0.13555200000000006,15,0.0
2019-05-04,0.9054848,5,0.0
2019-05-05,-0.47128575999999994,1,0.0
2019-05-06,-0.17648947199999998,22,2.0
2019-05-07,-0.11032442879999999,25,0.0
2019-05-08,-0.06955386880000003,27,0.0
2019-05-09,-0.042750156800000015,36,0.0
2019-05-10,-0.022963200000000007,25,0.0
2019-05-11,2.98162944,0,0.0
2019-05-12,-1.2151557119999998,2,0.0
2019-05-13,-0.3727981568,1,0.0
2019-05-14,1.808,9,0.0
2019-05-15,-0.9248,8,19.0
2019-05-16,-0.32985600000000004,7,10.0
2019-05-17,-0.19688960000000003,4,0.0
2019-05-18,-0.13831168000000008,2,0.0
2019-05-19,-0.105371136,1,0.0
2019-05-20,-0.0843208704,19,6.0
2019-05-21,-0.03674111999999999,34,8.0
2019-05-22,-0.030311423999999986,44,4.0
2019-05-23,-0.025596313599999993,28,3.0
2019-05-24,0.0,34,2.0
2019-05-25,1.0,8,1.0
2019-05-26,1.6,2,1.0
2019-05-27,0.08000000000000018,10,0.0
2019-05-28,-0.704,32,1.0
2019-05-29,-0.2896000000000001,19,2.0
2019-05-30,-0.17715200000000011,27,0.0
2019-05-31,1.8755328,17,0.0
2019-06-01,-0.8942489599999999,1,0.0
2019-06-02,0.685139968,1,0.0
2019-06-03,-0.5894801407999999,21,1.0
2019-06-04,-0.24395202560000007,14,0.0
2019-06-05,-0.13670215680000003,28,0.0
2019-06-06,-0.08752640000000006,24,0.0
2019-06-07,0.93330688,17,0.0
2019-06-08,-0.4532746239999999,3,0.0
2019-06-09,-0.16396687359999998,3,0.0
2019-06-10,-0.07915571199999999,34,0.0
2019-06-11,-0.05439815680000004,30,0.0
2019-06-12,0.970048,22,0.0
2019-06-13,-0.42296319999999993,27,0.0
2019-06-14,0.86162944,15,0.0
2019-06-15,-0.4791557119999999,0,0.0
2019-06-16,-0.17439815680000004,1,0.0
2019-06-17,-0.09395200000000002,14,0.0
2019-06-18,-0.06456320000000006,23,2.0
2019-06-19,-0.048322560000000014,24,0.0
2019-06-20,-0.038118912,31,0.0
2019-06-21,-0.03116871679999999,20,0.0
2019-06-22,-0.015155711999999993,1,2.0
2019-06-23,-0.012798156799999997,2,0.0
2019-06-24,0.0,26,0.0
2019-06-25,1.0,37,2.0
2019-06-26,0.6000000000000001,25,17.0
2019-06-27,-0.5199999999999999,25,1.0
2019-06-28,-0.184,21,5.0
2019-06-29,-0.10560000000000005,5,0.0
2019-06-30,-0.07155200000000006,7,0.0
2019-07-01,-0.05291520000000002,27,6.0
2019-07-02,-0.04133376,23,0.0
2019-07-03,-0.03352627199999999,27,0.0
2019-07-04,-0.02795386879999999,18,0.0
2019-07-05,-0.012798156799999997,20,0.0
2019-07-06,0.0,0,0.0
2019-07-07,0.0,0,0.0
2019-07-08,0.0,16,0.0
2019-07-09,1.0,23,0.0
2019-07-10,-0.3999999999999999,33,0.0
2019-07-11,-0.12,29,0.0
2019-07-12,-0.064,38,0.0
2019-07-13,-0.04160000000000005,4,0.0
2019-07-14,-0.029952000000000017,3,0.0
2019-07-15,-0.022963200000000007,36,0.0
2019-07-16,-0.018370559999999994,34,0.0
2019-07-17,-0.015155711999999993,38,0.0
2019-07-18,-0.012798156799999997,32,0.0
2019-07-19,0.0,18,0.0
2019-07-20,0.0,4,0.0
2019-07-21,0.0,3,0.0
2019-07-22,0.0,26,0.0
2019-07-23,0.0,21,0.0
2019-07-24,0.0,26,0.0
2019-07-25,0.0,25,0.0
2019-07-26,0.0,17,0.0
2019-07-27,0.0,0,0.0
2019-07-28,0.0,2,0.0
2019-07-29,0.0,28,0.0
2019-07-30,0.0,22,0.0
2019-07-31,0.0,17,0.0
2019-08-01,0.0,25,0.0
2019-08-02,0.0,19,0.0
2019-08-03,0.0,3,0.0
2019-08-04,0.0,4,0.0
2019-08-05,0.0,14,0.0
2019-08-06,0.0,27,0.0
2019-08-07,0.0,21,0.0
2019-08-08,0.0,35,0.0
2019-08-09,0.0,19,0.0
2019-08-10,1.0,2,0.0
2019-08-11,-0.3999999999999999,4,0.0
2019-08-12,-0.12,27,0.0
2019-08-13,-0.064,33,0.0
2019-08-14,-0.04160000000000005,28,0.0
2019-08-15,-0.029952000000000017,19,0.0
2019-08-16,-0.022963200000000007,31,14.0
2019-08-17,2.98162944,2,0.0
2019-08-18,-0.21515571199999983,0,0.0
2019-08-19,-0.7727981568,10,3.0
2019-08-20,-0.312,25,0.0
2019-08-21,-0.18880000000000013,32,0.0
2019-08-22,-0.1314560000000001,29,0.0
2019-08-23,-0.09884160000000004,26,0.0
2019-08-24,-0.07807487999999999,4,0.0
2019-08-25,-0.06383769599999997,2,0.0
2019-08-26,-0.053550182399999986,29,0.0
2019-08-27,-0.012798156799999997,12,0.0
2019-08-28,0.0,19,3.0
2019-08-29,0.0,36,4.0
2019-08-30,0.0,11,5.0
2019-08-31,0.0,3,0.0
2019-09-01,0.0,1,2.0
2019-09-02,0.0,11,2.0
2019-09-03,1.0,16,1.0
2019-09-04,0.6000000000000001,35,2.0
2019-09-05,-0.5199999999999999,23,19.0
2019-09-06,-0.184,19,0.0
2019-09-07,0.8944,4,0.0
2019-09-08,-0.47155199999999997,0,0.0
2019-09-09,-0.17291520000000002,22,0.0
2019-09-10,0.8946662400000001,27,0.0
2019-09-11,0.524873728,43,0.0
2019-09-12,-0.5779058687999999,15,1.0
2019-09-13,-0.2197613568,9,0.0
2019-09-14,-0.12397056000000004,0,6.0
2019-09-15,-0.08670771200000005,2,0.0
2019-09-16,-0.06571335680000003,18,9.0
2019-09-17,0.95866624,17,7.0
2019-09-18,-0.4335262719999999,25,8.0
2019-09-19,-0.1479538688,24,15.0
2019-09-20,-0.0767981568,21,0.0
2019-09-21,-0.04160000000000005,0,0.0
2019-09-22,-0.029952000000000017,1,0.0
2019-09-23,-0.022963200000000007,26,0.0
2019-09-24,-0.018370559999999994,27,7.0
2019-09-25,4.984844288,47,0.0
2019-09-26,-1.0127981567999997,14,2.0
2019-09-27,-0.9999999999999999,24,0.0
2019-09-28,1.56,4,0.0
2019-09-29,-1.072,0,0.0
2019-09-30,0.5686399999999998,35,0.0
2019-10-01,-0.6727679999999999,32,0.0
2019-10-02,-0.3180160000000001,24,2.0
2019-10-03,0.78194688,19,6.0
2019-10-04,-0.5666728959999999,33,8.0
2019-10-05,-0.1994912768,7,0.0
2019-10-06,0.882725376,0,0.0
2019-10-07,-0.48556687359999995,27,6.0
2019-10-08,-0.16510771200000002,18,10.0
2019-10-09,-0.0997613568,25,15.0
2019-10-10,-0.05997056000000004,23,16.0
2019-10-11,-0.04510771200000001,26,7.0
2019-10-12,-0.035761356800000005,5,0.0
2019-10-13,1.98162944,6,0.0
2019-10-14,-0.8151557119999998,31,5.0
2019-10-15,-0.2527981568,32,8.0
2019-10-16,-0.128,15,4.0
2019-10-17,-0.0832000000000001,14,10.0
2019-10-18,1.940096,19,7.0
2019-10-19,-0.8459263999999999,1,0.0
2019-10-20,-0.27674111999999995,0,0.0
2019-10-21,-0.15831142399999998,22,3.0
2019-10-22,-0.10879631360000008,16,4.0
2019-10-23,-0.059904000000000034,27,9.0
2019-10-24,-0.04592640000000001,22,2.0
2019-10-25,-0.03674111999999999,21,0.0
2019-10-26,2.969688576,1,4.0
2019-10-27,0.7744036864000003,0,0.0
2019-10-28,-1.1599999999999997,21,5.0
2019-10-29,0.5680000000000001,41,9.0
2019-10-30,-0.6528,26,6.0
2019-10-31,-0.29305600000000015,36,12.0
2019-11-01,-0.19279360000000006,23,0.0
2019-11-02,-0.14263808000000006,2,0.0
2019-11-03,0.887839744,0,0.0
2019-11-04,-0.4916690943999999,5,14.0
2019-11-05,-0.16396687359999998,6,13.0
2019-11-06,-0.07915571199999999,5,6.0
2019-11-07,-0.05439815680000004,8,0.0
2019-11-08,-0.029952000000000017,3,0.0
2019-11-09,-0.022963200000000007,2,6.0
2019-11-10,-0.018370559999999994,0,5.0
2019-11-11,-0.015155711999999993,20,4.0
2019-11-12,0.9872018432,18,10.0
2019-11-13,0.6000000000000001,20,10.0
2019-11-14,0.4800000000000001,22,2.0
2019-11-15,-0.5839999999999999,25,2.0
2019-11-16,-0.22560000000000005,1,0.0
2019-11-17,-0.13555200000000006,2,10.0
2019-11-18,-0.09451520000000008,26,4.0
2019-11-19,1.92871424,28,5.0
2019-11-20,0.1435105280000002,22,30.0
2019-11-21,-0.6863244287999999,26,6.0
2019-11-22,-0.2759538688,32,11.0
2019-11-23,-0.1599981568000001,1,0.0
2019-11-24,-0.10150400000000008,1,0.0
2019-11-25,-0.07587840000000003,16,13.0
2019-11-26,-0.05970431999999999,21,5.0
2019-11-27,-0.048681983999999984,19,8.0
2019-11-28,-0.040752025599999984,12,14.0
2019-11-29,-0.012798156799999997,14,10.0
2019-11-30,0.0,0,0.0
2019-12-01,0.0,0,0.0
2019-12-02,0.0,14,5.0
2019-12-03,0.0,11,2.0
2019-12-04,0.0,20,4.0
2019-12-05,0.0,9,6.0
2019-12-06,0.0,22,2.0
2019-12-07,0.0,1,4.0
2019-12-08,0.0,1,4.0
2019-12-09,1.0,20,6.0
2019-12-10,-0.3999999999999999,15,5.0
2019-12-11,-0.12,16,0.0
2019-12-12,-0.064,26,8.0
2019-12-13,-0.04160000000000005,15,36.0
2019-12-14,-0.029952000000000017,0,0.0
2019-12-15,1.9770368,3,0.0
2019-12-16,-0.8183705599999999,16,0.0
2019-12-17,-0.255155712,17,4.0
2019-12-18,-0.1407981568,22,2.0
2019-12-19,-0.0832000000000001,22,2.0
2019-12-20,-0.059904000000000034,29,2.0
2019-12-21,-0.04592640000000001,0,0.0
2019-12-22,-0.03674111999999999,0,0.0
2019-12-23,-0.030311423999999986,7,0.0
2019-12-24,-0.025596313599999993,9,0.0
2019-12-25,0.0,0,0.0
2019-12-26,0.0,7,0.0
2019-12-27,0.0,2,0.0
2019-12-28,0.0,0,0.0
2019-12-29,0.0,1,0.0
2019-12-30,0.0,5,14.0
2019-12-31,0.0,0,4.0
2020-01-01,0.0,0,0.0
2020-01-02,0.0,12,0.0
2020-01-03,0.0,21,0.0
2020-01-04,0.0,0,0.0
2020-01-05,0.0,2,0.0
2020-01-06,0.0,31,0.0
2020-01-07,0.0,20,2.0
2020-01-08,0.0,34,7.0
2020-01-09,0.0,25,3.0
2020-01-10,0.0,21,0.0
2020-01-11,0.0,1,0.0
2020-01-12,0.0,1,0.0
2020-01-13,0.0,24,2.0
2020-01-14,0.0,47,6.0
2020-01-15,0.0,27,2.0
2020-01-16,0.0,24,10.0
2020-01-17,0.0,23,1.0
2020-01-18,0.0,0,0.0
2020-01-19,0.0,0,4.0
2020-01-20,0.0,21,0.0
2020-01-21,0.0,13,2.0
2020-01-22,0.0,28,3.0
2020-01-23,0.0,19,1.0
2020-01-24,0.0,30,2.0
2020-01-25,0.0,4,0.0
2020-01-26,0.0,0,0.0
2020-01-27,0.0,27,0.0
2020-01-28,0.0,30,0.0
2020-01-29,0.0,22,0.0
2020-01-30,5.0,30,2.0
2020-01-31,-1.9999999999999996,33,0.0
2020-02-01,-0.6,3,0.0
2020-02-02,-0.32,5,0.0
2020-02-03,0.7919999999999998,22,0.0
2020-02-04,-0.54976,17,0.0
2020-02-05,-0.23481600000000002,27,0.0
2020-02-06,-0.15585279999999996,22,0.0
2020-02-07,-0.11737856000000002,31,0.0
2020-02-08,-0.093942784,7,0.0
2020-02-09,-0.022963200000000007,5,0.0
2020-02-10,1.98162944,30,4.0
2020-02-11,0.1848442880000002,25,53.0
2020-02-12,0.34720184320000014,31,2.0
2020-02-13,-0.6479999999999999,15,2.0
2020-02-14,-0.2672000000000001,17,3.0
2020-02-15,0.8344959999999999,3,0.0
2020-02-16,2.4825216,3,0.0
2020-02-17,-0.40965631999999985,9,2.0
2020-02-18,1.104354816,21,0.0
2020-02-19,0.7872774144000001,25,0.0
2020-02-20,0.7132941312000001,26,0.0
2020-02-21,0.6647826432000001,24,0.0
2020-02-22,0.6315878400000001,3,0.0
2020-02-23,0.5956654080000001,3,0.0
2020-02-24,-1.4336662528,25,0.0
2020-02-25,0.3526782975999999,29,3.0
2020-02-26,0.20311889919999992,30,0.0
2020-02-27,2.1983207424,27,9.0
2020-02-28,-1.5824792575999997,14,3.0
2020-02-29,-0.6041752576,3,0.0
2020-03-01,0.6437991424,1,0.0
2020-03-02,0.3663770624,26,2.0
2020-03-03,-0.6767860736,27,1.0
2020-03-04,1.713584128,24,1.0
2020-03-05,2.0113344512,28,1.0
2020-03-06,1.4301827072000002,17,12.0
2020-03-07,0.22069032960000023,3,0.0
2020-03-08,-0.4765337599999999,3,0.0
2020-03-09,-0.050230272000000076,30,3.0
2020-03-10,-0.9365362688000001,26,5.0
2020-03-11,2.5245151232,30,5.0
2020-03-12,-1.5198167039999997,21,0.0
2020-03-13,-0.6036535296,25,0.0
2020-03-14,-0.36551792639999997,2,0.0
2020-03-15,3.7651603456,0,0.0
2020-03-16,-1.7489785855999997,25,4.0
2020-03-17,2.4231565312,21,0.0
2020-03-18,0.4760901632000003,41,0.0
2020-03-19,-1.371867136,30,2.0
2020-03-20,1.4097975296,30,2.0
2020-03-21,-0.14465280000000003,2,0.0
2020-03-22,1.1134617599999999,0,0.0
2020-03-23,2.762583552,59,0.0
2020-03-24,-2.1394307072,57,3.0
2020-03-25,2.2082877439999997,33,10.0
2020-03-26,3.3162157056000003,38,22.0
2020-03-27,-1.6716046336,25,16.0
2020-03-28,-1.406416384,8,3.0
2020-03-29,-0.7341459456000001,2,0.0
2020-03-30,1.5215521791999997,26,1.0
2020-03-31,-1.1464687616,33,11.0
2020-04-01,1.5089276928,35,9.0
2020-04-02,2.911716864,29,6.0
2020-04-03,-2.0557435903999997,26,5.0
2020-04-04,1.252949504,8,4.0
2020-04-05,-0.19792455679999987,1,6.0
2020-04-06,-0.9030451200000001,33,3.0
2020-04-07,-0.44404582400000003,40,1.0
2020-04-08,-0.3013902336000001,34,0.0
2020-04-09,0.794702336,14,10.0
2020-04-10,-0.5620975615999999,29,13.0
2020-04-11,-0.23089694719999998,0,0.0
2020-04-12,-0.11268198399999999,1,0.0
2020-04-13,-0.08235202560000003,18,0.0
2020-04-14,-0.042750156800000015,23,0.0
2020-04-15,-0.022963200000000007,38,2.0
2020-04-16,-0.018370559999999994,32,2.0
2020-04-17,1.984844288,31,0.0
2020-04-18,1.1872018432000002,3,0.0
2020-04-19,-1.0399999999999998,1,0.0
2020-04-20,-0.368,25,1.0
2020-04-21,-0.2112000000000001,28,2.0
2020-04-22,-0.14310400000000012,29,2.0
2020-04-23,-0.10583040000000005,22,0.0
2020-04-24,-0.08266752,30,1.0
2020-04-25,-0.06705254399999998,3,0.0
2020-04-26,-0.05590773759999998,1,0.0
2020-04-27,0.9744036864,22,4.0
2020-04-28,-0.3999999999999999,29,28.0
2020-04-29,-0.12,38,7.0
2020-04-30,0.9359999999999999,35,5.0
2020-05-01,0.5584,2,1.0
2020-05-02,-0.5499519999999999,0,0.0
2020-05-03,-0.2069632,2,0.0
2020-05-04,-0.12397056000000004,31,2.0
