,getgrav/grav,WordPress/WordPress,tryghost/ghost
2018-09-02,0,1,0
2018-09-03,0,5,0
2018-09-04,2,0,0
2018-09-05,1,4,1
2018-09-06,7,1,5
2018-09-07,4,0,0
2018-09-08,0,1,0
2018-09-09,0,0,0
2018-09-10,0,0,8
2018-09-11,0,0,5
2018-09-12,6,3,0
2018-09-13,4,2,0
2018-09-14,1,4,0
2018-09-15,0,1,1
2018-09-16,0,0,0
2018-09-17,0,0,11
2018-09-18,0,1,6
2018-09-19,6,0,0
2018-09-20,9,1,6
2018-09-21,0,0,10
2018-09-22,0,0,0
2018-09-23,0,3,0
2018-09-24,4,6,6
2018-09-25,3,0,10
2018-09-26,4,0,3
2018-09-27,7,0,6
2018-09-28,0,1,1
2018-09-29,0,0,0
2018-09-30,7,0,1
2018-10-01,25,2,4
2018-10-02,7,6,12
2018-10-03,5,3,6
2018-10-04,3,1,17
2018-10-05,1,2,16
2018-10-06,5,0,9
2018-10-07,2,0,2
2018-10-08,6,0,3
2018-10-09,1,0,8
2018-10-10,0,0,5
2018-10-11,0,0,5
2018-10-12,4,0,29
2018-10-13,0,0,0
2018-10-14,0,0,1
2018-10-15,2,0,5
2018-10-16,4,0,14
2018-10-17,6,0,10
2018-10-18,0,0,25
2018-10-19,1,0,6
2018-10-20,0,0,0
2018-10-21,0,0,0
2018-10-22,5,0,4
2018-10-23,7,0,4
2018-10-24,4,0,3
2018-10-25,1,0,1
2018-10-26,7,0,1
2018-10-27,1,0,2
2018-10-28,0,0,1
2018-10-29,7,0,2
2018-10-30,5,0,8
2018-10-31,0,0,0
2018-11-01,1,0,0
2018-11-02,2,0,1
2018-11-03,6,0,0
2018-11-04,3,0,0
2018-11-05,6,0,3
2018-11-06,4,0,8
2018-11-07,0,0,8
2018-11-08,2,0,10
2018-11-09,0,0,2
2018-11-10,4,0,0
2018-11-11,2,0,0
2018-11-12,16,0,6
2018-11-13,8,0,13
2018-11-14,7,0,8
2018-11-15,11,1,4
2018-11-16,5,0,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,7,0,1
2018-11-20,3,0,6
2018-11-21,1,0,0
2018-11-22,0,0,1
2018-11-23,0,0,1
2018-11-24,1,0,0
2018-11-25,0,0,0
2018-11-26,3,0,8
2018-11-27,5,0,3
2018-11-28,3,0,0
