,opencv/opencv,davisking/dlib,scikit-image/scikit-image
2022-05-11,5,0,0
2022-05-12,14,0,0
2022-05-13,12,0,0
2022-05-14,4,0,0
2022-05-15,5,0,0
2022-05-16,3,0,0
2022-05-17,7,0,3
2022-05-18,0,0,2
2022-05-19,3,0,0
2022-05-20,2,0,0
2022-05-21,0,0,0
2022-05-22,2,0,0
2022-05-23,10,0,0
2022-05-24,6,0,1
2022-05-25,4,0,0
2022-05-26,4,0,0
2022-05-27,0,0,0
2022-05-28,2,0,0
2022-05-29,0,1,0
2022-05-30,4,0,0
2022-05-31,5,0,0
2022-06-01,3,0,0
2022-06-02,1,0,1
2022-06-03,1,0,0
2022-06-04,2,0,2
2022-06-05,5,0,1
2022-06-06,0,0,0
2022-06-07,0,1,0
2022-06-08,1,0,3
2022-06-09,0,0,2
2022-06-10,1,0,0
2022-06-11,2,0,1
2022-06-12,0,0,0
2022-06-13,4,0,0
2022-06-14,1,1,4
2022-06-15,4,0,2
2022-06-16,1,0,3
2022-06-17,2,0,0
2022-06-18,1,1,0
2022-06-19,3,0,0
2022-06-20,1,0,0
2022-06-21,0,0,0
2022-06-22,4,0,0
2022-06-23,2,0,3
2022-06-24,3,0,0
2022-06-25,3,0,0
2022-06-26,4,0,0
2022-06-27,1,1,0
2022-06-28,0,1,0
2022-06-29,3,0,0
2022-06-30,2,0,0
2022-07-01,10,0,0
2022-07-02,1,0,0
2022-07-03,1,1,0
2022-07-04,4,0,0
2022-07-05,6,0,0
2022-07-06,1,0,5
2022-07-07,2,1,0
2022-07-08,3,0,0
2022-07-09,1,0,2
2022-07-10,2,0,0
2022-07-11,0,1,2
2022-07-12,9,3,0
2022-07-13,5,5,0
2022-07-14,6,0,0
2022-07-15,4,0,0
2022-07-16,3,0,2
2022-07-17,0,0,3
2022-07-18,2,0,0
2022-07-19,10,1,0
2022-07-20,3,0,0
2022-07-21,4,0,0
2022-07-22,3,0,0
2022-07-23,0,1,0
2022-07-24,7,0,0
2022-07-25,2,0,1
2022-07-26,4,0,0
2022-07-27,2,0,0
2022-07-28,3,0,0
2022-07-29,0,0,0
2022-07-30,0,1,0
2022-07-31,1,3,0
2022-08-01,3,2,0
2022-08-02,10,0,0
2022-08-03,7,0,0
2022-08-04,0,2,0
2022-08-05,9,0,1
