,puppeteer/puppeteer,gocolly/colly,seleniumhq/selenium
2021-09-28,1.0,0,38
2021-09-29,4.9,0,17
2021-09-30,0.4549999999999995,1,11
2021-10-01,-0.35350000000000026,0,3
2021-10-02,0.7918375,0,0
2021-10-03,-0.24792924999999966,0,0
2021-10-04,2.8405917375000005,0,2
2021-10-05,0.57847949125,0,1
2021-10-06,0.6661386932343751,0,0
2021-10-07,4.686049136135938,0,8
2021-10-08,3.299787911804687,0,14
2021-10-09,-0.7420052987859378,0,4
2021-10-10,-0.40833360051562495,0,1
2021-10-11,-0.288271203785937,0,9
2021-10-12,0.7838056022031257,0,12
2021-10-13,-0.27613562937343705,0,16
2021-10-14,-0.17108369680156216,0,5
2021-10-15,-0.12911520261406226,0,3
2021-10-16,-0.10093001474218721,0,0
2021-10-17,-0.049712160143749864,0,1
2021-10-18,-0.01316201249999996,0,7
2021-10-19,1.98890630375,0,8
2021-10-20,-0.20956831301562515,0,14
2021-10-21,-0.09839885253593754,0,5
2021-10-22,-0.057000000000000044,0,7
2021-10-23,-0.04132499999999985,0,0
2021-10-24,-0.032233499999999894,0,0
2021-10-25,0.973675975,0,12
2021-10-26,-0.12218739250000002,0,1
2021-10-27,2.93586337396875,0,3
2021-10-28,0.6547022949281247,0,1
2021-10-29,0.7443374999999999,0,3
2021-10-30,-0.24661675000000013,0,0
2021-10-31,-0.1486495124999998,0,1
2021-11-01,-0.10860644624999977,0,0
2021-11-02,0.9141663994843753,0,2
2021-11-03,0.8290412962140626,0,8
2021-11-04,-0.19796064779687497,0,4
2021-11-05,-0.11935856687343743,0,8
2021-11-06,-0.0671296655515624,0,0
2021-11-07,-0.04517810253593735,0,0
2021-11-08,-0.02927876249999991,0,2
2021-11-09,0.9757442912500001,0,6
2021-11-10,0.879337990734375,0,0
2021-11-11,1.8370328344484375,0,0
2021-11-12,-0.2818988525359377,0,0
2021-11-13,-0.13916250000000002,0,0
2021-11-14,-0.09377924999999993,0,0
2021-11-15,1.9293962375000002,0,3
2021-11-16,0.74351079125,0,10
2021-11-17,-0.23698603426562503,0,17
2021-11-18,-0.14215455805156246,0,12
2021-11-19,0.9026395214328127,0,5
2021-11-20,-0.16969370507187487,0,0
2021-11-21,-0.0874407749999999,0,0
2021-11-22,-0.06384940499999991,0,9
2021-11-23,0.9491071777187502,0,6
2021-11-24,-0.14248276808749996,0,3
2021-11-25,-0.06656086503593747,0,0
2021-11-26,1.96040630375,0,7
2021-11-27,-0.2302308130156251,0,4
2021-11-28,-0.11451560253593748,0,1
2021-11-29,3.9298379875,0,6
2021-11-30,-0.4524186962500002,0,7
2021-12-01,-0.22180181301562502,0,21
2021-12-02,-0.1487228775359375,0,3
2021-12-03,0.8951626075000003,0,3
2021-12-04,-0.18360362603124983,0,0
2021-12-05,-0.11444575507187482,0,0
2021-12-06,-0.07287478499999989,0,0
2021-12-07,1.9410642479375002,0,0
2021-12-08,-0.24971216014375003,0,2
2021-12-09,3.8968379875,0,2
2021-12-10,2.5319063037499996,0,3
2021-12-11,-0.5308933130156253,0,0
2021-12-12,-0.28963235253593755,0,4
2021-12-13,0.8055259750000003,0,6
2021-12-14,-0.24864189249999957,0,3
2021-12-15,1.8348650739687504,0,1
2021-12-16,-0.3291585275718749,0,3
2021-12-17,-0.18221684081249978,2,4
2021-12-18,-0.13541709919062483,1,0
2021-12-19,-0.07968357010781224,0,0
2021-12-20,-0.04332719624999986,0,4
2021-12-21,0.9641076619843751,0,0
2021-12-22,1.8694137549640626,0,0
2021-12-23,-0.26413662603125015,0,1
2021-12-24,-0.13529770507187505,0,14
2021-12-25,-0.07766249999999997,1,1
2021-12-26,-0.05744174999999979,0,9
2021-12-27,-0.04539551249999985,0,4
2021-12-28,-0.03741772124999989,0,0
2021-12-29,-0.03175570551562491,2,3
2021-12-30,-0.02753547856718743,0,4
2021-12-31,-0.016797705071874957,0,5
2022-01-01,0.0,0,7
2022-01-02,0.0,0,0
2022-01-03,0.0,0,1
2022-01-04,0.0,0,8
2022-01-05,0.0,0,3
2022-01-06,0.0,0,3
2022-01-07,0.0,0,1
2022-01-08,0.0,0,2
2022-01-09,0.0,0,2
2022-01-10,0.0,0,5
2022-01-11,0.0,0,2
2022-01-12,0.0,1,2
2022-01-13,0.0,0,2
2022-01-14,0.0,0,0
2022-01-15,0.0,0,1
2022-01-16,0.0,1,1
2022-01-17,6.0,0,4
2022-01-18,2.3999999999999995,0,0
2022-01-19,-0.5700000000000005,0,5
2022-01-20,0.6939999999999997,0,4
2022-01-21,0.6905250000000003,0,4
2022-01-22,-0.3036879999999996,0,1
2022-01-23,-0.2008223249999997,0,1
2022-01-24,0.8447892850000004,0,11
2022-01-25,1.7725297831562503,0,0
2022-01-26,1.6466231832375002,0,0
2022-01-27,0.6320477336421874,0,3
2022-01-28,4.7116754907343745,2,2
2022-01-29,-0.6774089155515628,0,2
2022-01-30,-0.3486193650359374,0,3
2022-01-31,2.76718627875,0,3
2022-02-01,0.5224910194843754,4,2
2022-02-02,0.6215313664328128,0,6
2022-02-03,-0.34333808985312486,0,15
2022-02-04,1.7826780006625005,0,7
2022-02-05,-0.35375316761406234,0,0
2022-02-06,-0.20825955017968723,0,1
2022-02-07,3.88044014875,0,0
2022-02-08,-0.49428564779687506,0,0
2022-02-09,3.7419079331265626,0,5
2022-02-10,4.441708809448437,0,2
2022-02-11,3.2067637549640624,0,3
2022-02-12,-0.8226036260312504,0,0
2022-02-13,-0.4745957550718748,0,0
2022-02-14,5.673845715000001,0,2
2022-02-15,5.1458449479375,0,0
2022-02-16,-0.07824725764375007,0,0
2022-02-17,1.3126102166875,0,0
2022-02-18,1.3342132397781254,0,2
2022-02-19,-0.6194430147421868,0,4
2022-02-20,-0.3769304851437494,0,0
2022-02-21,1.7400239975000007,0,5
2022-02-22,2.5893074319062506,0,6
2022-02-23,0.43254578544062516,0,3
2022-02-24,-0.4004728457312499,0,3
2022-02-25,0.7784521289328127,0,4
2022-02-26,-0.25865533110312466,0,1
2022-02-27,-0.1571344800718747,0,0
2022-02-28,1.8937098200000002,0,3
2022-03-01,2.71375777271875,0,11
2022-03-02,-0.46271309036875014,0,2
2022-03-03,1.7600731168765624,0,8
2022-03-04,0.6536824512140624,0,6
2022-03-05,-0.2937893130156248,1,0
2022-03-06,-0.18507312753593733,1,0
2022-03-07,4.86850157,0,0
2022-03-08,-0.6053137147812502,4,2
2022-03-09,3.68705658088125,0,5
2022-03-10,-0.6030459626078128,1,2
2022-03-11,-0.31354282228124963,0,1
2022-03-12,-0.22094976808749975,0,1
2022-03-13,-0.15685891503593696,0,0
2022-03-14,-0.11993548124999961,0,0
2022-03-15,-0.10048961507812472,0,0
2022-03-16,-0.08636904767968726,0,0
2022-03-17,-0.0382732520624999,0,2
2022-03-18,0.9664045898562501,0,0
2022-03-19,-0.10000000000000009,0,0
2022-03-20,-0.04500000000000003,0,0
