,meilisearch/meilisearch,typesense/typesense,elastic/elasticsearch
2018-04-22,1.0,0.0,0
2018-04-23,0.0,1.0,2
2018-04-24,0.0,0.8,8
2018-04-25,0.0,0.72,16
2018-04-26,0.0,-0.32800000000000007,31
2018-04-27,0.0,-0.16160000000000013,23
2018-04-28,0.0,-0.10713600000000006,3
2018-04-29,0.0,-0.07956480000000003,1
2018-04-30,0.0,0.93710848,15
2018-05-01,0.0,-0.25174323199999993,40
2018-05-02,0.0,-0.12378378239999999,37
2018-05-03,0.0,-0.07485706239999994,19
2018-05-04,0.0,1.9539306496,21
2018-05-05,2.0,0.5744640000000001,3
2018-05-06,0.0,-0.3804288000000001,5
2018-05-07,0.0,-0.19292672000000016,19
2018-05-08,0.0,2.870412288,33
2018-05-09,0.0,-0.6971413503999999,21
2018-05-10,0.0,-0.30639360000000027,22
2018-05-11,0.0,-0.19828224000000014,15
2018-05-12,8.0,0.853497856,3
2018-05-13,0.0,1.6840655872,3
2018-05-14,0.0,0.4462442496000001,29
2018-05-15,0.0,-0.45878016000000016,29
2018-05-16,0.0,-0.252763136,40
2018-05-17,0.0,-0.1781440512,24
2018-05-18,0.0,-0.10510080000000005,20
2018-05-19,0.0,-0.08332032000000004,3
2018-05-20,0.0,-0.06866995199999998,2
2018-05-21,0.0,-0.05817149439999986,12
2018-05-22,0.0,1.9606735872,32
2018-05-23,0.0,-0.4124693503999999,28
2018-05-24,0.0,1.8399999999999999,20
2018-05-25,0.0,-0.496,17
2018-05-26,0.0,-0.22720000000000018,3
2018-05-27,0.0,-0.1470720000000001,1
2018-05-28,0.0,-0.10805760000000005,7
2018-05-29,0.0,0.91507456,17
2018-05-30,0.0,-0.2696330239999999,34
2018-05-31,0.0,-0.13879214080000002,24
2018-06-01,0.0,-0.07677542399999991,25
2018-06-02,0.0,-0.05853870079999994,5
2018-06-03,0.0,-0.025536000000000014,1
2018-06-04,0.0,0.9795712,38
2018-06-05,0.0,-0.21692671999999996,30
