,twbs/bootstrap,primer/css,zurb/foundation-sites
2019-08-31,1,0,0
2019-09-01,0,1,0
2019-09-02,5,0,0
2019-09-03,1,1,0
2019-09-04,0,10,0
2019-09-05,2,39,0
2019-09-06,9,3,0
2019-09-07,1,0,0
2019-09-08,0,0,0
2019-09-09,0,4,0
2019-09-10,0,46,0
2019-09-11,0,4,1
2019-09-12,0,13,0
2019-09-13,2,2,0
2019-09-14,0,0,0
2019-09-15,2,0,0
2019-09-16,7,3,0
2019-09-17,0,0,0
2019-09-18,0,1,0
2019-09-19,0,1,0
2019-09-20,0,2,0
2019-09-21,0,4,0
2019-09-22,0,0,0
2019-09-23,0,4,0
2019-09-24,5,1,0
2019-09-25,0,16,0
2019-09-26,1,7,0
2019-09-27,3,1,0
2019-09-28,0,0,0
2019-09-29,0,0,0
2019-09-30,0,1,0
2019-10-01,1,10,0
2019-10-02,7,7,0
2019-10-03,6,1,0
2019-10-04,0,0,0
2019-10-05,0,0,7
2019-10-06,0,0,3
2019-10-07,1,15,0
2019-10-08,3,0,1
2019-10-09,1,0,1
2019-10-10,1,9,0
2019-10-11,0,3,0
2019-10-12,4,0,0
2019-10-13,0,0,1
2019-10-14,1,2,1
2019-10-15,0,1,0
2019-10-16,2,1,0
2019-10-17,2,0,0
2019-10-18,3,0,0
2019-10-19,0,0,2
2019-10-20,1,0,2
2019-10-21,0,4,3
2019-10-22,6,10,12
2019-10-23,0,13,1
2019-10-24,0,12,4
2019-10-25,3,11,2
2019-10-26,1,0,15
2019-10-27,1,0,1
2019-10-28,3,1,1
2019-10-29,0,0,3
2019-10-30,0,0,0
2019-10-31,7,49,0
2019-11-01,1,10,0
2019-11-02,0,0,8
2019-11-03,0,0,4
2019-11-04,7,19,0
2019-11-05,0,15,0
2019-11-06,0,2,2
2019-11-07,6,4,2
2019-11-08,1,11,0
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,0,0,0
2019-11-12,2,3,0
2019-11-13,0,2,0
2019-11-14,0,4,0
2019-11-15,1,12,0
2019-11-16,0,0,0
2019-11-17,0,0,14
2019-11-18,1,1,0
2019-11-19,0,3,0
2019-11-20,0,1,0
2019-11-21,1,3,0
2019-11-22,1,1,0
2019-11-23,0,0,0
2019-11-24,3,0,0
2019-11-25,5,0,0
2019-11-26,2,2,0
2019-11-27,1,0,0
2019-11-28,4,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,0,0,0
2019-12-03,0,0,1
2019-12-04,1,3,0
2019-12-05,0,0,13
2019-12-06,2,0,1
2019-12-07,0,0,2
2019-12-08,1,1,2
2019-12-09,1,0,0
2019-12-10,0,0,0
2019-12-11,1,0,1
2019-12-12,0,3,1
2019-12-13,2,0,8
2019-12-14,5,0,0
2019-12-15,2,0,0
2019-12-16,0,14,0
2019-12-17,0,12,1
2019-12-18,1,3,1
2019-12-19,0,0,0
2019-12-20,1,2,0
2019-12-21,0,0,1
2019-12-22,0,0,0
2019-12-23,0,0,0
2019-12-24,1,0,0
2019-12-25,14,0,0
2019-12-26,0,6,0
2019-12-27,2,7,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,2,0,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,4,0,1
2020-01-03,0,10,0
2020-01-04,2,0,0
2020-01-05,0,0,0
2020-01-06,1,0,0
2020-01-07,6,0,1
2020-01-08,1,0,0
2020-01-09,1,0,0
2020-01-10,1,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,3,0,8
2020-01-14,1,0,0
2020-01-15,0,0,0
2020-01-16,1,0,0
2020-01-17,1,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,2
2020-01-22,0,0,0
2020-01-23,2,13,0
2020-01-24,0,1,0
2020-01-25,3,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,1,1,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,1,0,0
2020-02-02,0,0,0
2020-02-03,4,0,24
2020-02-04,1,0,11
2020-02-05,2,0,6
2020-02-06,1,0,0
2020-02-07,1,0,2
2020-02-08,0,0,0
2020-02-09,1,0,0
2020-02-10,3,0,0
2020-02-11,2,2,2
2020-02-12,5,2,1
2020-02-13,3,2,0
2020-02-14,6,4,1
2020-02-15,8,0,0
2020-02-16,4,0,0
2020-02-17,9,0,1
2020-02-18,0,1,0
2020-02-19,0,6,0
2020-02-20,1,5,0
2020-02-21,0,24,0
2020-02-22,2,0,0
2020-02-23,1,1,0
2020-02-24,0,8,0
2020-02-25,0,10,0
2020-02-26,0,6,1
2020-02-27,0,5,0
2020-02-28,0,9,0
2020-02-29,1,0,0
2020-03-01,0,3,0
2020-03-02,1,11,0
2020-03-03,0,5,0
2020-03-04,3,0,1
2020-03-05,5,0,5
2020-03-06,2,0,0
2020-03-07,1,0,0
2020-03-08,3,0,0
2020-03-09,5,1,0
2020-03-10,10,1,0
2020-03-11,1,10,0
2020-03-12,3,1,0
2020-03-13,1,1,0
2020-03-14,2,0,0
2020-03-15,2,0,0
2020-03-16,1,3,0
2020-03-17,4,1,0
2020-03-18,18,2,0
2020-03-19,1,3,0
2020-03-20,4,2,0
2020-03-21,1,0,0
2020-03-22,0,0,0
2020-03-23,9,0,0
2020-03-24,8,10,0
2020-03-25,7,2,0
2020-03-26,1,7,0
2020-03-27,0,0,12
2020-03-28,12,0,21
2020-03-29,2,0,0
2020-03-30,8,0,0
2020-03-31,9,7,0
2020-04-01,7,7,0
2020-04-02,2,5,0
2020-04-03,0,1,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,3,1,0
2020-04-07,0,5,2
2020-04-08,3,6,6
2020-04-09,4,1,0
2020-04-10,1,0,0
2020-04-11,2,0,0
2020-04-12,0,0,3
2020-04-13,9,4,0
2020-04-14,10,4,0
2020-04-15,6,4,0
2020-04-16,2,6,0
2020-04-17,6,3,0
2020-04-18,3,0,0
2020-04-19,0,0,0
2020-04-20,1,3,0
2020-04-21,0,1,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,5,0,0
2020-04-25,0,0,0
2020-04-26,0,1,0
2020-04-27,14,1,0
2020-04-28,4,0,0
2020-04-29,10,0,0
2020-04-30,2,0,0
2020-05-01,3,0,0
2020-05-02,1,0,0
2020-05-03,0,0,0
2020-05-04,7,0,0
2020-05-05,6,3,1
2020-05-06,7,1,0
2020-05-07,2,0,0
2020-05-08,2,1,1
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,4,0,1
2020-05-12,4,3,0
2020-05-13,6,0,0
2020-05-14,5,0,0
2020-05-15,5,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,2,4,0
2020-05-19,2,2,0
2020-05-20,10,3,0
2020-05-21,0,9,0
2020-05-22,0,2,1
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,4,7,0
2020-05-27,0,1,0
2020-05-28,2,2,1
2020-05-29,0,1,2
2020-05-30,1,0,0
2020-05-31,1,2,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,4,3,1
2020-06-04,1,3,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,1,0,0
2020-06-09,5,0,0
2020-06-10,4,0,0
2020-06-11,3,0,0
2020-06-12,7,1,0
2020-06-13,0,0,0
2020-06-14,5,0,0
2020-06-15,1,2,0
2020-06-16,27,1,0
2020-06-17,17,4,0
2020-06-18,6,0,1
2020-06-19,4,0,0
2020-06-20,2,0,0
2020-06-21,1,0,0
2020-06-22,0,0,0
2020-06-23,3,0,0
2020-06-24,2,0,0
2020-06-25,6,0,0
2020-06-26,0,0,0
2020-06-27,3,0,0
2020-06-28,0,0,0
2020-06-29,0,8,2
2020-06-30,1,2,0
2020-07-01,6,11,0
2020-07-02,0,8,0
2020-07-03,4,1,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,3,0,0
2020-07-07,3,0,0
2020-07-08,0,4,0
2020-07-09,0,0,3
2020-07-10,5,0,0
2020-07-11,6,1,0
2020-07-12,8,0,0
2020-07-13,7,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,2,2,0
2020-07-22,0,0,0
2020-07-23,0,4,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,1,0
2020-07-31,5,1,0
2020-08-01,0,0,3
2020-08-02,1,1,1
2020-08-03,5,9,0
2020-08-04,3,0,0
2020-08-05,2,1,0
2020-08-06,1,0,0
2020-08-07,0,0,0
2020-08-08,0,0,0
2020-08-09,0,0,1
2020-08-10,0,9,0
2020-08-11,1,0,0
2020-08-12,0,0,0
2020-08-13,1,0,0
2020-08-14,0,0,0
2020-08-15,0,0,3
2020-08-16,0,0,0
2020-08-17,1,1,1
2020-08-18,1,7,0
2020-08-19,1,0,0
2020-08-20,0,1,0
2020-08-21,0,0,0
2020-08-22,2,0,0
2020-08-23,0,0,0
2020-08-24,0,3,0
2020-08-25,0,1,2
2020-08-26,0,1,0
2020-08-27,0,2,2
2020-08-28,0,1,1
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,0,0,0
2020-09-01,4,0,0
2020-09-02,1,2,0
2020-09-03,1,3,2
2020-09-04,2,2,3
2020-09-05,1,1,0
2020-09-06,0,0,0
2020-09-07,0,1,0
2020-09-08,0,16,0
2020-09-09,1,6,0
2020-09-10,15,4,0
2020-09-11,0,8,0
2020-09-12,0,0,0
2020-09-13,0,0,0
2020-09-14,2,6,0
2020-09-15,11,17,0
2020-09-16,0,12,0
2020-09-17,2,3,0
2020-09-18,2,12,0
2020-09-19,0,6,0
2020-09-20,0,0,0
2020-09-21,1,4,0
2020-09-22,12,2,0
2020-09-23,8,4,0
2020-09-24,6,7,0
2020-09-25,3,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,12,1,0
2020-09-29,11,0,0
2020-09-30,4,0,2
2020-10-01,0,4,0
2020-10-02,1,9,1
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,3,9,0
2020-10-06,0,3,0
2020-10-07,1,3,0
2020-10-08,0,3,0
2020-10-09,0,2,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,1,0,2
2020-10-13,5,0,0
2020-10-14,1,4,0
2020-10-15,1,18,0
2020-10-16,0,13,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,10,7,0
2020-10-20,3,9,0
2020-10-21,0,13,0
2020-10-22,5,20,0
2020-10-23,0,11,0
2020-10-24,0,4,0
2020-10-25,2,0,0
2020-10-26,9,19,0
2020-10-27,2,4,0
2020-10-28,5,8,0
2020-10-29,9,16,0
2020-10-30,6,9,0
2020-10-31,5,0,0
2020-11-01,8,0,0
2020-11-02,5,7,0
2020-11-03,3,3,0
2020-11-04,1,1,0
2020-11-05,7,5,0
2020-11-06,9,1,0
2020-11-07,0,0,0
2020-11-08,6,0,0
2020-11-09,8,7,0
2020-11-10,1,11,0
2020-11-11,5,3,0
2020-11-12,2,0,0
2020-11-13,6,1,0
2020-11-14,16,0,0
2020-11-15,1,0,0
2020-11-16,1,3,0
2020-11-17,6,5,0
2020-11-18,5,5,0
2020-11-19,12,5,0
2020-11-20,4,1,4
2020-11-21,3,0,0
2020-11-22,0,0,0
2020-11-23,7,6,0
2020-11-24,2,3,0
2020-11-25,3,2,0
2020-11-26,0,0,0
2020-11-27,0,1,0
2020-11-28,0,0,0
2020-11-29,6,0,0
2020-11-30,8,3,0
2020-12-01,7,3,0
2020-12-02,3,1,0
2020-12-03,1,0,0
2020-12-04,16,7,0
2020-12-05,0,0,0
2020-12-06,10,0,0
2020-12-07,7,0,0
2020-12-08,4,0,0
2020-12-09,11,5,0
2020-12-10,8,1,0
2020-12-11,5,1,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,10,5,0
2020-12-15,12,9,0
2020-12-16,2,1,0
2020-12-17,3,4,0
2020-12-18,3,0,0
2020-12-19,1,1,0
2020-12-20,3,0,0
2020-12-21,4,0,0
2020-12-22,1,1,0
2020-12-23,0,1,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,1,0,0
2020-12-29,1,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,10,1,0
2021-01-06,2,1,0
2021-01-07,4,0,0
2021-01-08,3,0,0
2021-01-09,2,0,0
2021-01-10,3,0,0
2021-01-11,2,1,0
2021-01-12,1,0,0
2021-01-13,17,0,0
2021-01-14,3,0,0
2021-01-15,5,0,0
2021-01-16,0,0,0
2021-01-17,0,0,0
2021-01-18,1,2,0
2021-01-19,2,9,0
2021-01-20,1,0,0
2021-01-21,0,1,0
2021-01-22,0,3,0
2021-01-23,0,0,6
2021-01-24,0,0,1
2021-01-25,3,0,0
2021-01-26,0,0,0
2021-01-27,3,0,0
2021-01-28,10,0,0
2021-01-29,0,1,0
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,1,0,0
2021-02-02,0,1,0
2021-02-03,9,5,0
2021-02-04,2,0,0
2021-02-05,0,4,0
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,3,1,0
2021-02-09,10,0,0
2021-02-10,3,0,0
2021-02-11,6,0,0
2021-02-12,2,5,0
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,4,0,1
2021-02-16,5,0,1
2021-02-17,1,0,0
2021-02-18,3,1,0
2021-02-19,1,11,0
2021-02-20,0,0,0
2021-02-21,1,0,0
2021-02-22,6,2,0
2021-02-23,1,1,0
2021-02-24,1,1,0
2021-02-25,0,0,2
2021-02-26,0,1,0
2021-02-27,0,0,0
2021-02-28,0,0,0
2021-03-01,3,1,0
2021-03-02,7,0,0
2021-03-03,0,6,0
2021-03-04,0,7,0
2021-03-05,0,2,0
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,2,8,0
2021-03-09,0,4,0
2021-03-10,3,4,0
2021-03-11,9,15,0
2021-03-12,0,1,0
2021-03-13,0,0,0
2021-03-14,0,0,0
2021-03-15,0,0,0
2021-03-16,7,4,0
2021-03-17,8,7,0
2021-03-18,3,8,0
2021-03-19,0,5,0
