,huggingface/transformers,EleutherAI/gpt-neox,eleutherai/gpt-neo
2020-12-22,10,5.0,1
2020-12-23,6,35.0,3
2020-12-24,8,3.0,0
2020-12-25,2,0.0,1
2020-12-26,0,14.0,0
2020-12-27,1,13.0,0
2020-12-28,3,3.0,0
2020-12-29,3,0.0,0
2020-12-30,1,0.0,0
2020-12-31,0,0.0,0
2021-01-01,0,1.0,1
2021-01-02,3,0.0,7
2021-01-03,1,4.0,0
2021-01-04,12,16.0,1
2021-01-05,13,9.0,0
2021-01-06,15,3.0,13
2021-01-07,9,1.0,0
2021-01-08,7,0.0,2
2021-01-09,0,2.0,4
2021-01-10,2,2.0,0
2021-01-11,16,1.0,0
2021-01-12,13,1.0,2
2021-01-13,14,13.0,1
2021-01-14,11,0.0,0
2021-01-15,5,0.0,0
2021-01-16,0,0.0,3
2021-01-17,0,1.0,0
2021-01-18,3,7.0,0
2021-01-19,13,4.0,0
2021-01-20,17,0.0,0
2021-01-21,11,0.0,0
2021-01-22,5,2.0,0
2021-01-23,2,20.0,1
2021-01-24,0,0.0,0
2021-01-25,7,1.0,2
2021-01-26,13,2.0,0
2021-01-27,21,2.0,0
2021-01-28,11,1.0,1
2021-01-29,6,0.0,0
2021-01-30,1,1.0,0
2021-01-31,2,0.0,0
2021-02-01,11,4.0,0
2021-02-02,9,3.0,2
2021-02-03,11,5.0,0
2021-02-04,14,10.0,0
2021-02-05,7,16.0,0
2021-02-06,0,16.0,0
2021-02-07,0,12.0,0
2021-02-08,25,58.0,0
2021-02-09,16,36.0,6
2021-02-10,9,28.0,0
2021-02-11,8,26.0,0
2021-02-12,4,13.0,0
2021-02-13,6,23.0,1
2021-02-14,0,1.0,0
2021-02-15,12,7.0,5
2021-02-16,5,15.0,0
2021-02-17,8,14.0,1
2021-02-18,6,8.0,0
2021-02-19,15,5.0,0
2021-02-20,3,0.0,0
2021-02-21,1,6.0,0
2021-02-22,9,21.0,0
2021-02-23,3,11.0,0
2021-02-24,6,23.0,0
2021-02-25,11,19.0,0
2021-02-26,4,29.0,0
2021-02-27,5,27.0,1
2021-02-28,3,22.0,0
2021-03-01,5,2.0,0
2021-03-02,1,9.0,0
2021-03-03,9,29.0,0
2021-03-04,6,20.0,0
2021-03-05,11,40.0,0
2021-03-06,3,19.0,0
2021-03-07,0,29.0,0
2021-03-08,20,7.0,0
2021-03-09,9,13.0,0
2021-03-10,8,13.0,0
2021-03-11,17,4.0,4
2021-03-12,7,11.0,0
2021-03-13,0,1.0,0
2021-03-14,0,0.0,0
2021-03-15,16,6.0,0
2021-03-16,14,2.0,0
2021-03-17,11,15.0,0
2021-03-18,14,2.0,0
2021-03-19,9,7.0,0
2021-03-20,0,10.0,0
2021-03-21,5,0.0,7
2021-03-22,10,0.0,22
2021-03-23,12,1.0,0
2021-03-24,6,0.0,0
2021-03-25,7,4.0,0
2021-03-26,3,1.0,4
2021-03-27,0,0.0,1
2021-03-28,1,0.0,6
2021-03-29,11,0.0,0
2021-03-30,11,3.0,2
2021-03-31,13,1.0,1
2021-04-01,7,0.0,1
2021-04-02,1,0.0,13
2021-04-03,0,0.0,4
2021-04-04,0,0.0,0
2021-04-05,15,0.0,0
2021-04-06,12,6.0,2
2021-04-07,11,11.0,1
2021-04-08,14,6.0,0
2021-04-09,13,2.0,0
2021-04-10,0,9.0,4
2021-04-11,0,1.0,0
2021-04-12,9,3.0,0
2021-04-13,15,2.0,0
2021-04-14,10,4.0,2
2021-04-15,3,3.0,0
2021-04-16,5,1.0,0
2021-04-17,0,2.0,0
