,freecodecamp/freecodecamp,exercism/exercism,ossu/computer-science
2022-07-13,7,0,0
2022-07-14,4,0,0
2022-07-15,4,0,0
2022-07-16,2,0,3
2022-07-17,3,0,0
2022-07-18,5,0,0
2022-07-19,9,0,0
2022-07-20,2,0,0
2022-07-21,7,0,0
2022-07-22,8,0,0
2022-07-23,3,0,0
2022-07-24,5,0,0
2022-07-25,8,0,0
2022-07-26,4,0,0
2022-07-27,12,0,0
2022-07-28,10,0,0
2022-07-29,5,0,0
2022-07-30,1,0,0
2022-07-31,0,0,0
2022-08-01,4,0,1
2022-08-02,7,0,0
2022-08-03,9,0,2
2022-08-04,4,0,0
2022-08-05,4,0,0
2022-08-06,1,0,0
2022-08-07,2,0,0
2022-08-08,12,0,0
2022-08-09,9,0,0
2022-08-10,6,0,0
2022-08-11,3,0,0
2022-08-12,4,0,0
2022-08-13,0,0,0
2022-08-14,2,0,0
2022-08-15,4,0,0
2022-08-16,4,0,0
2022-08-17,3,0,0
2022-08-18,2,0,0
2022-08-19,10,0,0
2022-08-20,3,0,0
2022-08-21,0,0,0
2022-08-22,9,0,0
2022-08-23,4,0,1
2022-08-24,6,0,0
2022-08-25,4,0,0
2022-08-26,3,0,0
2022-08-27,1,0,0
2022-08-28,0,0,0
2022-08-29,6,0,0
2022-08-30,5,0,0
2022-08-31,4,0,0
2022-09-01,3,0,0
2022-09-02,3,0,0
2022-09-03,0,0,0
2022-09-04,2,0,0
2022-09-05,0,0,0
2022-09-06,1,0,0
2022-09-07,6,0,0
2022-09-08,3,0,0
2022-09-09,1,0,1
2022-09-10,1,0,0
2022-09-11,0,0,0
2022-09-12,8,0,0
2022-09-13,3,0,0
2022-09-14,1,0,0
2022-09-15,8,0,0
2022-09-16,5,0,2
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,3,0,0
2022-09-20,6,0,0
2022-09-21,7,0,0
2022-09-22,6,0,0
2022-09-23,4,0,0
2022-09-24,0,0,0
2022-09-25,1,0,1
2022-09-26,3,0,0
2022-09-27,8,0,0
2022-09-28,8,0,0
2022-09-29,8,0,0
2022-09-30,7,0,0
2022-10-01,6,0,0
2022-10-02,1,0,1
2022-10-03,7,0,0
2022-10-04,12,0,0
2022-10-05,12,0,0
2022-10-06,8,0,0
2022-10-07,6,0,0
2022-10-08,3,0,0
2022-10-09,3,0,0
2022-10-10,11,0,0
2022-10-11,17,0,0
2022-10-12,12,0,1
2022-10-13,4,0,1
2022-10-14,7,0,0
2022-10-15,4,0,0
2022-10-16,0,0,0
2022-10-17,8,0,0
2022-10-18,7,0,0
2022-10-19,12,0,0
2022-10-20,6,0,0
2022-10-21,12,0,0
2022-10-22,3,0,0
2022-10-23,2,0,0
2022-10-24,7,0,0
2022-10-25,4,0,0
2022-10-26,10,1,1
2022-10-27,11,0,0
2022-10-28,5,0,0
2022-10-29,8,0,0
2022-10-30,0,1,0
2022-10-31,8,0,0
2022-11-01,6,0,0
2022-11-02,3,0,0
2022-11-03,4,0,0
2022-11-04,8,0,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,5,0,0
2022-11-08,5,0,0
2022-11-09,7,0,0
2022-11-10,5,0,0
2022-11-11,8,0,0
2022-11-12,0,0,0
2022-11-13,0,0,2
2022-11-14,9,0,0
2022-11-15,3,0,0
2022-11-16,3,0,0
2022-11-17,3,0,0
2022-11-18,2,0,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,2,0,0
2022-11-22,3,0,1
2022-11-23,1,1,0
2022-11-24,3,0,0
2022-11-25,9,0,0
2022-11-26,0,0,0
2022-11-27,1,0,2
2022-11-28,5,0,0
2022-11-29,1,0,0
2022-11-30,5,0,4
2022-12-01,3,0,0
2022-12-02,9,1,0
2022-12-03,0,0,2
2022-12-04,0,0,0
2022-12-05,7,0,0
2022-12-06,7,0,0
2022-12-07,4,0,0
2022-12-08,3,0,2
2022-12-09,7,0,0
2022-12-10,2,0,0
2022-12-11,1,0,0
2022-12-12,10,0,0
2022-12-13,2,1,1
2022-12-14,8,0,0
2022-12-15,4,0,0
2022-12-16,7,0,0
2022-12-17,0,0,0
2022-12-18,0,0,4
2022-12-19,7,0,2
2022-12-20,8,0,0
2022-12-21,4,0,0
2022-12-22,7,0,0
2022-12-23,6,0,0
2022-12-24,1,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,1,0,0
2022-12-29,0,0,0
2022-12-30,1,0,0
2022-12-31,3,0,0
2023-01-01,0,0,0
2023-01-02,12,0,0
2023-01-03,10,0,0
2023-01-04,7,0,0
2023-01-05,5,0,0
2023-01-06,7,0,0
2023-01-07,6,0,0
2023-01-08,3,0,0
2023-01-09,6,0,0
2023-01-10,9,0,0
2023-01-11,8,0,2
2023-01-12,3,0,0
2023-01-13,3,0,0
2023-01-14,0,0,0
2023-01-15,0,0,2
2023-01-16,2,0,0
2023-01-17,6,0,0
2023-01-18,2,0,0
2023-01-19,8,0,0
2023-01-20,3,0,0
2023-01-21,1,0,2
2023-01-22,0,0,0
2023-01-23,11,0,0
2023-01-24,1,0,0
2023-01-25,10,0,0
2023-01-26,7,0,0
2023-01-27,6,0,0
2023-01-28,0,0,0
2023-01-29,1,0,0
2023-01-30,7,0,0
2023-01-31,3,0,0
2023-02-01,6,0,0
2023-02-02,7,0,0
2023-02-03,2,0,0
2023-02-04,0,0,0
2023-02-05,1,0,0
2023-02-06,2,0,1
2023-02-07,2,0,0
2023-02-08,8,0,0
2023-02-09,6,0,0
2023-02-10,11,1,0
2023-02-11,4,0,0
2023-02-12,0,0,0
2023-02-13,7,0,0
2023-02-14,3,0,0
2023-02-15,0,0,0
2023-02-16,7,0,0
2023-02-17,5,0,0
2023-02-18,15,0,0
2023-02-19,3,0,0
2023-02-20,6,0,0
2023-02-21,10,0,0
2023-02-22,4,0,0
2023-02-23,8,0,0
2023-02-24,9,0,0
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,5,0,0
2023-02-28,14,0,0
2023-03-01,2,0,0
2023-03-02,4,0,0
2023-03-03,2,0,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,11,0,0
2023-03-07,8,0,0
2023-03-08,8,0,0
2023-03-09,6,0,0
2023-03-10,12,0,0
2023-03-11,3,0,0
2023-03-12,1,0,0
2023-03-13,8,0,0
2023-03-14,6,0,0
2023-03-15,6,0,0
2023-03-16,9,0,0
2023-03-17,5,0,0
2023-03-18,5,0,0
2023-03-19,1,0,0
2023-03-20,5,0,0
2023-03-21,14,0,0
2023-03-22,3,0,0
2023-03-23,9,0,0
2023-03-24,13,0,0
2023-03-25,2,0,0
2023-03-26,0,0,0
2023-03-27,5,0,0
2023-03-28,4,0,0
2023-03-29,3,0,0
2023-03-30,13,0,0
2023-03-31,5,0,0
2023-04-01,1,0,0
2023-04-02,1,0,0
2023-04-03,12,0,0
2023-04-04,3,0,1
2023-04-05,10,0,2
2023-04-06,7,0,0
2023-04-07,3,0,0
2023-04-08,2,0,0
2023-04-09,0,0,1
2023-04-10,9,0,0
2023-04-11,4,0,0
2023-04-12,6,0,0
2023-04-13,5,0,0
2023-04-14,2,0,0
2023-04-15,0,0,0
2023-04-16,0,0,0
2023-04-17,15,0,0
2023-04-18,6,0,0
2023-04-19,10,0,0
2023-04-20,13,0,0
2023-04-21,4,0,0
2023-04-22,1,0,0
2023-04-23,1,0,0
2023-04-24,11,0,0
2023-04-25,8,0,0
2023-04-26,11,0,1
2023-04-27,8,0,0
2023-04-28,7,0,0
2023-04-29,1,0,0
2023-04-30,1,0,0
2023-05-01,6,0,0
2023-05-02,7,0,0
2023-05-03,7,0,0
2023-05-04,5,0,0
2023-05-05,9,0,1
2023-05-06,0,0,0
2023-05-07,0,0,0
2023-05-08,6,0,0
2023-05-09,14,0,0
2023-05-10,8,0,0
2023-05-11,2,0,0
2023-05-12,6,0,0
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,4,0,0
2023-05-16,8,0,0
2023-05-17,7,0,0
2023-05-18,9,0,0
2023-05-19,5,0,0
2023-05-20,1,0,0
2023-05-21,0,0,0
2023-05-22,5,0,0
2023-05-23,5,0,0
2023-05-24,14,0,0
2023-05-25,5,0,0
2023-05-26,7,0,0
2023-05-27,1,0,0
2023-05-28,2,0,0
2023-05-29,1,0,0
2023-05-30,6,0,0
2023-05-31,6,0,0
2023-06-01,8,0,0
2023-06-02,6,0,0
2023-06-03,2,0,0
2023-06-04,2,0,0
2023-06-05,3,0,0
2023-06-06,4,0,0
2023-06-07,7,0,0
2023-06-08,1,0,0
2023-06-09,4,0,0
2023-06-10,0,0,0
2023-06-11,0,0,0
2023-06-12,4,0,0
2023-06-13,2,0,0
2023-06-14,9,0,0
2023-06-15,5,0,0
2023-06-16,6,0,0
2023-06-17,2,0,0
2023-06-18,0,0,0
2023-06-19,1,0,0
2023-06-20,8,0,0
2023-06-21,4,0,0
2023-06-22,10,0,0
2023-06-23,2,0,0
2023-06-24,1,0,0
2023-06-25,1,0,0
2023-06-26,3,0,0
2023-06-27,4,0,0
2023-06-28,1,0,0
2023-06-29,14,0,0
2023-06-30,6,0,0
2023-07-01,1,0,0
2023-07-02,0,0,0
2023-07-03,6,0,0
2023-07-04,2,0,0
2023-07-05,7,0,0
2023-07-06,12,0,0
2023-07-07,3,0,0
2023-07-08,1,0,0
2023-07-09,0,0,0
2023-07-10,8,0,0
2023-07-11,14,1,0
2023-07-12,6,0,0
2023-07-13,2,0,0
2023-07-14,6,0,0
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,0,0
2023-07-18,7,0,0
2023-07-19,5,0,0
2023-07-20,8,0,0
2023-07-21,5,0,0
2023-07-22,0,0,0
2023-07-23,1,0,0
2023-07-24,4,0,0
2023-07-25,6,0,0
2023-07-26,11,0,0
2023-07-27,2,0,0
2023-07-28,6,0,0
2023-07-29,1,0,0
2023-07-30,1,0,0
2023-07-31,4,0,0
2023-08-01,5,0,0
2023-08-02,6,0,0
2023-08-03,5,0,0
2023-08-04,3,0,0
2023-08-05,2,0,0
2023-08-06,1,0,0
2023-08-07,8,0,0
2023-08-08,5,0,0
2023-08-09,4,0,0
2023-08-10,7,0,0
2023-08-11,2,0,0
2023-08-12,4,0,0
2023-08-13,0,0,0
2023-08-14,14,0,0
2023-08-15,6,0,0
2023-08-16,6,0,0
2023-08-17,2,0,0
2023-08-18,2,0,0
2023-08-19,0,0,0
2023-08-20,1,0,0
2023-08-21,6,0,0
2023-08-22,6,0,0
2023-08-23,9,0,0
2023-08-24,4,0,0
2023-08-25,0,0,0
2023-08-26,3,0,2
2023-08-27,4,0,0
2023-08-28,7,0,0
2023-08-29,5,0,0
2023-08-30,2,0,0
2023-08-31,9,0,0
2023-09-01,1,0,0
2023-09-02,3,0,0
2023-09-03,0,0,0
2023-09-04,3,0,0
2023-09-05,9,0,0
2023-09-06,11,0,0
2023-09-07,4,0,0
2023-09-08,5,0,0
2023-09-09,2,0,0
2023-09-10,1,0,0
2023-09-11,2,0,0
2023-09-12,6,0,0
2023-09-13,2,0,0
2023-09-14,2,0,0
2023-09-15,4,0,0
2023-09-16,1,0,0
2023-09-17,0,0,0
2023-09-18,7,0,1
2023-09-19,18,0,0
2023-09-20,3,0,0
2023-09-21,1,0,0
2023-09-22,3,0,0
2023-09-23,3,0,0
2023-09-24,0,0,0
2023-09-25,8,0,0
2023-09-26,3,0,0
2023-09-27,7,0,1
2023-09-28,4,0,0
2023-09-29,3,0,0
2023-09-30,2,0,2
2023-10-01,2,0,0
2023-10-02,7,0,0
2023-10-03,9,1,0
2023-10-04,9,0,1
2023-10-05,8,0,0
2023-10-06,9,0,0
2023-10-07,2,0,0
2023-10-08,0,0,0
2023-10-09,5,0,0
2023-10-10,9,0,1
2023-10-11,16,0,0
2023-10-12,16,0,0
2023-10-13,18,0,0
2023-10-14,4,0,0
2023-10-15,3,0,2
2023-10-16,6,0,0
2023-10-17,4,0,0
2023-10-18,16,0,0
2023-10-19,6,0,0
2023-10-20,1,0,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,2,0,0
2023-10-24,12,0,0
2023-10-25,6,0,0
