,grafana/grafana,elastic/kibana,getsentry/sentry
2021-08-22,0,4,0
2021-08-23,21,48,16
2021-08-24,19,47,17
2021-08-25,15,47,23
2021-08-26,15,55,32
2021-08-27,23,15,20
2021-08-28,1,0,0
2021-08-29,2,0,0
2021-08-30,9,38,26
2021-08-31,16,44,42
2021-09-01,25,47,30
2021-09-02,17,26,24
2021-09-03,5,46,2
2021-09-04,0,0,0
2021-09-05,0,1,0
2021-09-06,12,19,0
2021-09-07,20,41,28
2021-09-08,19,53,17
2021-09-09,23,43,23
2021-09-10,21,26,16
2021-09-11,0,0,0
2021-09-12,1,1,0
2021-09-13,26,41,31
2021-09-14,18,41,25
2021-09-15,25,46,29
2021-09-16,17,31,20
2021-09-17,22,6,18
2021-09-18,0,3,0
2021-09-19,1,5,0
2021-09-20,23,25,31
2021-09-21,15,31,33
2021-09-22,14,39,34
2021-09-23,24,45,29
2021-09-24,2,3,18
2021-09-25,2,0,0
2021-09-26,0,3,0
2021-09-27,17,35,26
2021-09-28,18,39,35
2021-09-29,26,41,38
2021-09-30,21,32,25
2021-10-01,21,28,18
2021-10-02,0,2,3
2021-10-03,0,1,0
2021-10-04,14,58,28
2021-10-05,12,59,20
2021-10-06,22,61,44
2021-10-07,19,51,31
2021-10-08,15,12,52
2021-10-09,0,2,0
2021-10-10,0,2,0
2021-10-11,18,42,14
2021-10-12,27,64,33
2021-10-13,15,57,25
2021-10-14,23,56,25
2021-10-15,15,51,24
2021-10-16,1,6,0
2021-10-17,0,5,0
2021-10-18,21,57,34
2021-10-19,22,80,27
2021-10-20,27,69,25
2021-10-21,22,68,22
2021-10-22,18,5,30
2021-10-23,0,1,1
2021-10-24,0,0,0
2021-10-25,15,48,20
2021-10-26,26,75,22
2021-10-27,24,33,26
2021-10-28,18,39,24
2021-10-29,21,46,28
2021-10-30,0,8,0
2021-10-31,0,0,0
2021-11-01,16,38,19
2021-11-02,36,70,16
2021-11-03,21,53,30
2021-11-04,17,44,41
2021-11-05,20,41,21
2021-11-06,2,2,1
2021-11-07,1,2,0
2021-11-08,16,36,18
2021-11-09,28,54,31
2021-11-10,25,43,32
2021-11-11,27,69,29
2021-11-12,20,8,19
2021-11-13,1,1,3
2021-11-14,2,0,0
2021-11-15,26,47,31
2021-11-16,23,60,16
2021-11-17,36,35,13
2021-11-18,31,39,18
2021-11-19,36,40,14
2021-11-20,2,1,1
2021-11-21,0,2,0
2021-11-22,17,36,19
2021-11-23,25,49,31
2021-11-24,36,45,34
2021-11-25,16,25,14
2021-11-26,20,6,9
2021-11-27,0,2,0
2021-11-28,0,1,0
2021-11-29,31,40,21
2021-11-30,16,48,26
2021-12-01,25,49,30
2021-12-02,21,38,35
2021-12-03,14,40,21
2021-12-04,0,3,0
2021-12-05,0,0,0
2021-12-06,14,36,37
2021-12-07,10,59,14
2021-12-08,10,47,13
2021-12-09,10,40,36
2021-12-10,4,10,21
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,18,40,9
2021-12-14,27,37,45
2021-12-15,20,37,39
2021-12-16,18,34,45
2021-12-17,17,35,17
2021-12-18,2,1,0
2021-12-19,1,0,0
2021-12-20,23,31,12
2021-12-21,20,49,13
2021-12-22,11,36,11
2021-12-23,9,25,14
2021-12-24,2,3,0
2021-12-25,0,0,0
2021-12-26,0,2,0
2021-12-27,4,12,0
2021-12-28,6,13,1
2021-12-29,1,4,4
2021-12-30,4,5,1
2021-12-31,0,2,0
2022-01-01,0,2,0
2022-01-02,0,0,0
2022-01-03,8,4,18
2022-01-04,24,25,24
2022-01-05,19,28,26
2022-01-06,14,23,24
2022-01-07,26,4,21
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,21,36,32
2022-01-11,18,37,25
2022-01-12,15,45,27
2022-01-13,19,29,26
2022-01-14,14,27,18
2022-01-15,0,2,1
2022-01-16,0,0,0
2022-01-17,19,24,14
2022-01-18,15,44,19
2022-01-19,19,28,28
2022-01-20,19,45,27
2022-01-21,22,3,24
2022-01-22,1,0,1
2022-01-23,1,3,0
2022-01-24,17,28,17
2022-01-25,17,45,39
2022-01-26,15,27,27
2022-01-27,21,41,43
2022-01-28,17,35,25
2022-01-29,1,0,0
2022-01-30,0,1,0
2022-01-31,30,57,22
2022-02-01,22,65,26
2022-02-02,25,36,27
2022-02-03,33,33,23
2022-02-04,26,34,21
2022-02-05,1,2,2
2022-02-06,0,0,0
2022-02-07,25,32,22
2022-02-08,39,34,25
2022-02-09,40,35,19
2022-02-10,36,49,20
2022-02-11,33,41,18
