,denoland/deno,oven-sh/bun,nodejs/node
2021-07-17,2,2,2
2021-07-18,4,1,7
2021-07-19,8,0,15
2021-07-20,6,2,31
2021-07-21,3,1,8
2021-07-22,5,1,6
2021-07-23,2,0,9
2021-07-24,1,1,6
2021-07-25,1,0,8
2021-07-26,10,1,9
2021-07-27,5,3,2
2021-07-28,3,2,11
2021-07-29,6,2,10
2021-07-30,2,1,9
2021-07-31,0,0,4
2021-08-01,2,0,6
2021-08-02,4,2,10
2021-08-03,2,4,9
2021-08-04,3,14,2
2021-08-05,2,0,8
2021-08-06,10,4,14
2021-08-07,1,3,3
2021-08-08,0,8,1
2021-08-09,9,2,7
2021-08-10,8,0,10
2021-08-11,5,8,8
2021-08-12,8,9,17
2021-08-13,10,1,3
2021-08-14,12,2,1
2021-08-15,5,3,6
2021-08-16,9,6,3
2021-08-17,4,12,8
2021-08-18,5,11,1
2021-08-19,6,3,2
2021-08-20,1,5,3
2021-08-21,3,0,4
2021-08-22,0,5,3
2021-08-23,9,5,4
2021-08-24,14,1,3
2021-08-25,6,0,15
2021-08-26,3,4,8
2021-08-27,3,8,2
2021-08-28,1,7,7
2021-08-29,2,2,3
2021-08-30,2,3,24
2021-08-31,4,2,6
2021-09-01,1,4,6
2021-09-02,3,6,0
2021-09-03,3,12,6
2021-09-04,2,1,0
2021-09-05,3,11,3
2021-09-06,4,8,11
2021-09-07,7,3,12
2021-09-08,11,5,8
2021-09-09,1,1,6
2021-09-10,2,6,3
2021-09-11,6,1,5
2021-09-12,5,7,6
2021-09-13,14,2,2
2021-09-14,8,10,2
2021-09-15,2,9,9
2021-09-16,5,18,17
2021-09-17,5,33,3
2021-09-18,3,6,11
2021-09-19,1,0,5
2021-09-20,3,0,5
2021-09-21,9,8,5
2021-09-22,11,15,12
2021-09-23,3,3,2
2021-09-24,9,34,4
2021-09-25,6,12,11
2021-09-26,6,3,9
2021-09-27,4,16,10
2021-09-28,2,9,3
2021-09-29,7,0,4
2021-09-30,11,4,7
2021-10-01,6,25,1
2021-10-02,2,1,18
2021-10-03,3,2,10
2021-10-04,6,20,3
2021-10-05,9,9,8
2021-10-06,8,6,3
2021-10-07,6,10,11
2021-10-08,7,8,3
2021-10-09,0,3,15
2021-10-10,9,0,7
2021-10-11,11,7,8
2021-10-12,6,6,35
2021-10-13,6,6,14
2021-10-14,4,7,4
2021-10-15,1,8,3
2021-10-16,1,15,3
2021-10-17,6,13,3
2021-10-18,5,1,6
2021-10-19,9,1,13
2021-10-20,6,2,12
2021-10-21,2,4,4
2021-10-22,1,0,12
2021-10-23,0,13,13
2021-10-24,2,25,8
2021-10-25,6,9,7
2021-10-26,8,16,6
2021-10-27,5,22,4
2021-10-28,5,5,8
2021-10-29,5,11,0
2021-10-30,6,23,4
2021-10-31,3,27,6
2021-11-01,5,14,9
2021-11-02,2,2,7
2021-11-03,2,26,1
2021-11-04,3,2,3
2021-11-05,2,21,0
2021-11-06,0,2,4
2021-11-07,3,21,2
2021-11-08,11,10,10
2021-11-09,12,7,7
2021-11-10,5,2,5
2021-11-11,5,3,2
2021-11-12,1,0,8
2021-11-13,0,0,4
2021-11-14,1,0,1
2021-11-15,4,8,5
2021-11-16,5,5,3
2021-11-17,5,5,3
2021-11-18,2,0,9
2021-11-19,2,0,4
2021-11-20,1,3,2
2021-11-21,0,1,25
2021-11-22,6,22,8
2021-11-23,12,14,4
2021-11-24,7,5,4
2021-11-25,6,0,7
2021-11-26,2,3,6
2021-11-27,2,0,8
2021-11-28,5,0,1
2021-11-29,7,0,13
2021-11-30,1,0,5
2021-12-01,4,0,5
2021-12-02,0,0,21
2021-12-03,4,0,5
2021-12-04,2,1,3
2021-12-05,1,0,7
2021-12-06,2,0,6
2021-12-07,6,0,7
2021-12-08,2,0,2
2021-12-09,9,0,3
2021-12-10,11,0,11
2021-12-11,4,1,6
2021-12-12,1,0,5
2021-12-13,7,0,4
2021-12-14,5,0,6
2021-12-15,8,0,3
2021-12-16,7,23,10
2021-12-17,6,104,5
2021-12-18,2,4,3
2021-12-19,0,22,11
2021-12-20,6,7,1
2021-12-21,5,26,11
2021-12-22,3,24,8
2021-12-23,3,15,7
2021-12-24,1,18,9
2021-12-25,0,3,3
2021-12-26,0,8,3
2021-12-27,1,5,8
2021-12-28,1,32,3
2021-12-29,6,6,3
2021-12-30,4,0,8
2021-12-31,1,28,5
2022-01-01,0,8,6
2022-01-02,4,28,4
2022-01-03,3,11,1
2022-01-04,8,13,3
2022-01-05,4,21,13
2022-01-06,5,4,5
2022-01-07,3,0,4
2022-01-08,1,0,2
2022-01-09,2,0,3
2022-01-10,5,0,16
2022-01-11,8,0,4
2022-01-12,3,0,2
2022-01-13,5,0,5
2022-01-14,8,0,21
2022-01-15,1,0,4
2022-01-16,1,0,3
2022-01-17,7,0,12
2022-01-18,4,0,16
2022-01-19,11,11,10
2022-01-20,10,2,27
2022-01-21,1,9,16
2022-01-22,1,11,6
2022-01-23,1,25,19
2022-01-24,9,16,9
2022-01-25,3,5,8
2022-01-26,2,6,1
2022-01-27,4,5,6
2022-01-28,0,9,7
2022-01-29,1,3,9
2022-01-30,1,15,5
2022-01-31,8,1,8
2022-02-01,2,6,7
2022-02-02,7,8,22
2022-02-03,1,6,13
2022-02-04,6,20,4
2022-02-05,3,4,20
2022-02-06,3,13,11
2022-02-07,2,2,5
2022-02-08,1,14,7
2022-02-09,2,1,2
2022-02-10,0,7,7
2022-02-11,2,15,19
2022-02-12,1,31,5
2022-02-13,2,8,4
2022-02-14,0,11,10
2022-02-15,7,8,13
2022-02-16,15,20,8
2022-02-17,3,6,11
2022-02-18,1,16,11
2022-02-19,2,6,6
2022-02-20,0,0,5
2022-02-21,1,10,5
2022-02-22,2,8,8
2022-02-23,3,0,11
2022-02-24,5,12,3
2022-02-25,6,26,7
2022-02-26,1,0,7
2022-02-27,3,22,14
2022-02-28,0,3,2
2022-03-01,3,3,4
2022-03-02,5,16,5
2022-03-03,3,16,4
2022-03-04,6,10,2
2022-03-05,2,5,2
2022-03-06,1,2,7
2022-03-07,7,8,12
2022-03-08,9,4,10
2022-03-09,3,13,8
2022-03-10,2,8,8
2022-03-11,12,3,4
2022-03-12,2,7,0
2022-03-13,2,4,3
2022-03-14,6,6,16
2022-03-15,8,28,3
2022-03-16,12,19,4
2022-03-17,6,7,9
2022-03-18,3,19,9
2022-03-19,5,20,4
2022-03-20,5,7,4
2022-03-21,4,2,10
2022-03-22,12,4,3
2022-03-23,6,3,9
2022-03-24,6,5,1
2022-03-25,6,10,0
2022-03-26,0,11,3
2022-03-27,1,9,7
2022-03-28,6,11,7
2022-03-29,8,2,4
2022-03-30,3,1,4
2022-03-31,3,19,11
2022-04-01,5,2,6
2022-04-02,4,24,9
2022-04-03,2,5,20
2022-04-04,6,44,10
2022-04-05,0,16,5
2022-04-06,2,10,2
2022-04-07,2,13,7
2022-04-08,4,35,9
2022-04-09,0,3,6
2022-04-10,1,15,9
2022-04-11,3,11,4
2022-04-12,1,7,30
2022-04-13,6,5,8
2022-04-14,1,9,12
2022-04-15,3,2,1
2022-04-16,5,3,2
2022-04-17,2,1,10
2022-04-18,7,1,2
2022-04-19,4,9,8
2022-04-20,10,0,3
2022-04-21,8,2,21
2022-04-22,5,0,2
2022-04-23,3,5,4
2022-04-24,4,0,8
2022-04-25,6,2,4
2022-04-26,8,2,4
2022-04-27,3,0,5
2022-04-28,2,1,18
2022-04-29,3,10,3
2022-04-30,0,4,0
2022-05-01,2,10,4
2022-05-02,4,7,15
2022-05-03,3,13,4
2022-05-04,5,14,5
2022-05-05,5,0,10
2022-05-06,2,19,9
2022-05-07,1,2,0
2022-05-08,1,9,9
2022-05-09,4,7,4
2022-05-10,9,8,8
2022-05-11,5,22,1
2022-05-12,7,7,7
2022-05-13,8,0,3
2022-05-14,4,0,3
2022-05-15,8,0,9
2022-05-16,3,15,2
2022-05-17,10,20,8
2022-05-18,8,0,3
2022-05-19,3,2,5
2022-05-20,2,10,4
2022-05-21,1,0,2
2022-05-22,1,0,11
2022-05-23,4,0,5
