,protocolbuffers/protobuf,apache/avro,apache/thrift
2021-07-09,2,0,4
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,2,0,0
2021-07-13,2,1,0
2021-07-14,0,0,0
2021-07-15,0,0,0
2021-07-16,2,1,0
2021-07-17,0,0,1
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,2,0,0
2021-07-21,0,0,0
2021-07-22,0,0,0
2021-07-23,0,0,0
2021-07-24,0,0,1
2021-07-25,0,0,0
2021-07-26,3,1,1
2021-07-27,0,0,0
2021-07-28,0,0,0
2021-07-29,2,0,0
2021-07-30,2,0,1
2021-07-31,5,1,0
2021-08-01,3,0,3
2021-08-02,15,0,0
2021-08-03,16,0,2
2021-08-04,11,0,0
2021-08-05,0,0,0
2021-08-06,7,1,0
2021-08-07,0,1,0
2021-08-08,0,0,0
2021-08-09,2,1,0
2021-08-10,0,0,1
2021-08-11,3,0,12
2021-08-12,4,0,1
2021-08-13,6,0,10
2021-08-14,4,0,0
2021-08-15,0,0,0
2021-08-16,13,0,0
2021-08-17,10,0,0
2021-08-18,13,0,0
2021-08-19,3,0,2
2021-08-20,3,0,0
2021-08-21,0,0,0
2021-08-22,0,0,4
2021-08-23,3,0,0
2021-08-24,7,0,0
2021-08-25,9,0,3
2021-08-26,7,2,0
2021-08-27,12,1,2
2021-08-28,5,0,0
2021-08-29,2,1,0
2021-08-30,5,1,4
2021-08-31,5,3,2
2021-09-01,7,0,2
2021-09-02,0,0,5
2021-09-03,2,1,0
2021-09-04,0,0,3
2021-09-05,0,0,0
2021-09-06,0,1,0
2021-09-07,0,0,0
2021-09-08,0,2,0
2021-09-09,14,6,1
2021-09-10,13,2,1
2021-09-11,5,0,2
2021-09-12,0,0,0
2021-09-13,13,13,0
2021-09-14,2,1,0
2021-09-15,1,4,0
2021-09-16,3,0,0
2021-09-17,0,0,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,4,0,1
2021-09-21,1,2,0
2021-09-22,9,1,0
2021-09-23,4,0,0
2021-09-24,9,0,0
2021-09-25,1,0,0
2021-09-26,0,0,2
2021-09-27,6,1,0
2021-09-28,10,2,0
2021-09-29,6,0,0
2021-09-30,10,0,0
2021-10-01,6,0,0
2021-10-02,3,0,0
2021-10-03,4,0,0
